index,operator,input_shape,output_shape,input_activation_bytes,output_activation_bytes,activation_io_bytes,constant_bytes,live_activation_before_bytes,live_activation_during_bytes,live_activation_after_bytes,live_tensor_count_during,live_plus_constants_bytes,estimated_macs,estimated_elementwise_ops,tag,count,total_us,mean_us,min_us,max_us,mean_ms,min_ms,max_ms,latency_share,mmacs_per_second,activation_kib_per_ms
0,MUL,1x96x96x3,1x96x96x3,27648,27648,55296,1,27648,55296,27648,2,55297,0,27648,MUL,20,357628,17881.4,16859,19871,17.881400000000003,16.859,19.871,0.027964890857885668,,3.0198977708680523
1,ADD,1x96x96x3,1x96x96x3,27648,27648,55296,1,27648,55296,27648,2,55297,0,27648,ADD,20,754365,37718.25,36813,38763,37.71825,36.813,38.763,0.05898792849555661,,1.431667694020799
2,CONV_2D,1x96x96x3,1x48x48x8,27648,18432,46080,248,27648,46080,18432,2,46328,497664,0,CONV_2D,20,1386021,69301.05,68064,70059,69.30105,68.064,70.059,0.10838056861246198,7.181189895391195,0.6493408108535151
3,DEPTHWISE_CONV_2D,1x48x48x8,1x48x48x8,18432,18432,36864,104,18432,36864,18432,2,36968,165888,0,DEPTHWISE_CONV_2D,20,478412,23920.6,23166,25659,23.9206,23.166,25.659,0.03740965294972093,6.934943103433861,1.504978972099362
4,CONV_2D,1x48x48x8,1x48x48x16,18432,36864,55296,192,18432,55296,36864,2,55488,294912,0,CONV_2D,20,991465,49573.25,48692,51126,49.57325,48.692,51.126,0.0775280753028667,5.9490148416736846,1.089297151185367
5,DEPTHWISE_CONV_2D,1x48x48x16,1x24x24x16,36864,9216,46080,208,36864,46080,9216,2,46288,82944,0,DEPTHWISE_CONV_2D,20,283978,14198.9,13968,15703,14.1989,13.968,15.703,0.022205794222042614,5.841579277267957,3.1692595905316607
6,CONV_2D,1x24x24x16,1x24x24x32,9216,18432,27648,640,9216,27648,18432,2,28288,294912,0,CONV_2D,20,1594202,79710.1,78404,80533,79.71010000000001,78.404,80.533,0.12465938051669066,3.6998071762549536,0.33872746364638856
7,DEPTHWISE_CONV_2D,1x24x24x32,1x24x24x32,18432,18432,36864,416,18432,36864,18432,2,37280,165888,0,DEPTHWISE_CONV_2D,20,466379,23318.95,22796,25004,23.31895,22.796,25.004,0.036468726815042055,7.113870907566593,1.5438087907045557
8,CONV_2D,1x24x24x32,1x24x24x32,18432,18432,36864,1152,18432,36864,18432,2,38016,589824,0,CONV_2D,20,938735,46936.75,45807,49599,46.93675,45.807,49.599,0.07340482797621356,12.566357917836237,0.7669896190085593
9,DEPTHWISE_CONV_2D,1x24x24x32,1x12x12x32,18432,4608,23040,416,18432,23040,4608,2,23456,41472,0,DEPTHWISE_CONV_2D,20,145770,7288.5,6963,8999,7.2885,6.963,8.999,0.011398554196970018,5.690059683062358,3.0870549495781026
10,CONV_2D,1x12x12x32,1x12x12x64,4608,9216,13824,2304,4608,13824,9216,2,16128,294912,0,CONV_2D,20,443328,22166.4,21887,23611,22.166400000000003,21.887,23.611,0.03466624295146,13.304460805543524,0.6090298830662624
11,DEPTHWISE_CONV_2D,1x12x12x64,1x12x12x64,9216,9216,18432,832,9216,18432,9216,2,19264,82944,0,DEPTHWISE_CONV_2D,20,200304,10015.2,9840,11020,10.0152,9.84,11.02,0.01566286615812501,8.281811646297626,1.7972681524083394
12,CONV_2D,1x12x12x64,1x12x12x64,9216,9216,18432,4352,9216,18432,9216,2,22784,589824,0,CONV_2D,20,807311,40365.55,39415,41450,40.365550000000006,39.415,41.45,0.06312806604452262,14.612064000118913,0.4459248046911289
13,DEPTHWISE_CONV_2D,1x12x12x64,1x6x6x64,9216,2304,11520,832,9216,11520,2304,2,12352,20736,0,DEPTHWISE_CONV_2D,20,61400,3070.0,2864,3988,3.07,2.864,3.988,0.004801202083377643,6.754397394136808,3.664495114006515
14,CONV_2D,1x6x6x64,1x6x6x128,2304,4608,6912,8704,2304,6912,4608,2,15616,294912,0,CONV_2D,20,487666,24383.3,23823,25809,24.3833,23.823,25.809,0.038133273863069084,12.094835399638278,0.27682881316310753
