stage,region,total,free,largest,minimum
boot,internal,466651,383063,253952,383063
boot,psram,8388608,8385720,8257536,8385720
boot,dma,458739,375531,253952,375531
before_psram_model,internal,466651,382847,188416,317303
before_psram_model,psram,8388608,8385720,8257536,7861424
before_psram_model,dma,458739,375315,188416,309771
after_psram_model,internal,466651,382847,188416,317303
after_psram_model,psram,8388608,8385720,8257536,7861424
after_psram_model,dma,458739,375315,188416,309771
before_internal_model,internal,466651,382847,188416,317303
before_internal_model,psram,8388608,8385720,8257536,7861424
before_internal_model,dma,458739,375315,188416,309771
after_internal_model,internal,466651,382847,188416,219003
after_internal_model,psram,8388608,8385720,8257536,7861424
after_internal_model,dma,458739,375315,188416,211471
complete,internal,466651,382847,188416,219003
complete,psram,8388608,8385720,8257536,7861424
complete,dma,458739,375315,188416,211471
