placement,index,tag,count,total_us,mean_us,min_us,max_us
psram,0,MUL,20,158826,7941.3,7935,7953
psram,1,ADD,20,361718,18085.9,18080,18095
psram,2,CONV_2D,20,167013,8350.65,8339,8365
psram,3,DEPTHWISE_CONV_2D,20,76788,3839.4,3830,3847
psram,4,CONV_2D,20,85407,4270.35,4259,4286
psram,5,DEPTHWISE_CONV_2D,20,46848,2342.4,2335,2354
psram,6,CONV_2D,20,44339,2216.95,2208,2231
psram,7,DEPTHWISE_CONV_2D,20,53382,2669.1,2665,2671
psram,8,CONV_2D,20,48296,2414.8,2412,2419
psram,9,DEPTHWISE_CONV_2D,20,18127,906.35,901,908
psram,10,CONV_2D,20,25338,1266.9,1265,1272
psram,11,DEPTHWISE_CONV_2D,20,24535,1226.75,1225,1231
psram,12,CONV_2D,20,33748,1687.4,1683,1690
psram,13,DEPTHWISE_CONV_2D,20,8887,444.35,441,448
psram,14,CONV_2D,20,26614,1330.7,1327,1335
psram,15,DEPTHWISE_CONV_2D,20,15167,758.35,753,761
psram,16,CONV_2D,20,40675,2033.75,2032,2035
psram,17,DEPTHWISE_CONV_2D,20,15462,773.1,767,775
psram,18,CONV_2D,20,41024,2051.2,2050,2053
psram,19,DEPTHWISE_CONV_2D,20,15557,777.85,773,780
psram,20,CONV_2D,20,42622,2131.1,2129,2136
psram,21,DEPTHWISE_CONV_2D,20,8995,449.75,447,454
psram,22,CONV_2D,20,63531,3176.55,3174,3182
psram,23,MEAN,20,38980,1949.0,1945,1953
psram,24,FULLY_CONNECTED,20,2637,131.85,129,138
psram,25,LOGISTIC,20,2969,148.45,140,156
internal,0,MUL,20,155152,7757.6,7751,7770
internal,1,ADD,20,358283,17914.15,17908,17927
internal,2,CONV_2D,20,165182,8259.1,8251,8267
internal,3,DEPTHWISE_CONV_2D,20,61591,3079.55,3075,3088
internal,4,CONV_2D,20,73518,3675.9,3668,3686
internal,5,DEPTHWISE_CONV_2D,20,24644,1232.2,1224,1241
internal,6,CONV_2D,20,38228,1911.4,1899,1920
internal,7,DEPTHWISE_CONV_2D,20,41945,2097.25,2096,2102
internal,8,CONV_2D,20,42483,2124.15,2123,2129
internal,9,DEPTHWISE_CONV_2D,20,11904,595.2,591,598
internal,10,CONV_2D,20,24493,1224.65,1223,1230
internal,11,DEPTHWISE_CONV_2D,20,22010,1100.5,1099,1106
internal,12,CONV_2D,20,29995,1499.75,1496,1503
internal,13,DEPTHWISE_CONV_2D,20,6907,345.35,343,350
internal,14,CONV_2D,20,24643,1232.15,1229,1237
internal,15,DEPTHWISE_CONV_2D,20,12950,647.5,643,650
internal,16,CONV_2D,20,37037,1851.85,1846,1857
internal,17,DEPTHWISE_CONV_2D,20,13067,653.35,649,656
internal,18,CONV_2D,20,38583,1929.15,1924,1931
internal,19,DEPTHWISE_CONV_2D,20,12938,646.9,642,649
internal,20,CONV_2D,20,36974,1848.7,1844,1851
internal,21,DEPTHWISE_CONV_2D,20,6577,328.85,327,334
internal,22,CONV_2D,20,57632,2881.6,2875,2887
internal,23,MEAN,20,38954,1947.7,1943,1951
internal,24,FULLY_CONNECTED,20,2556,127.8,124,136
internal,25,LOGISTIC,20,2993,149.65,143,160
