index,operator,input_shape,output_shape,input_activation_bytes,output_activation_bytes,activation_io_bytes,constant_bytes,live_activation_before_bytes,live_activation_during_bytes,live_activation_after_bytes,live_tensor_count_during,live_plus_constants_bytes,estimated_macs,estimated_elementwise_ops,tag,count,total_us,mean_us,min_us,max_us,mean_ms,min_ms,max_ms,latency_share,mmacs_per_second,activation_kib_per_ms
0,MUL,1x80x80x3,1x80x80x3,19200,19200,38400,1,19200,38400,19200,2,38401,0,19200,MUL,20,257555,12877.75,12183,15843,12.87775,12.183,15.843,0.02833028054958027,,2.9119993787734657
1,ADD,1x80x80x3,1x80x80x3,19200,19200,38400,1,19200,38400,19200,2,38401,0,19200,ADD,20,495034,24751.7,23741,26412,24.7517,23.741,26.412,0.054452261076589153,,1.5150474512861742
2,CONV_2D,1x80x80x3,1x40x40x8,19200,12800,32000,248,19200,32000,12800,2,32248,345600,0,CONV_2D,20,954970,47748.5,46737,49312,47.7485,46.737,49.312,0.10504384700911522,7.237923704409563,0.6544708210729133
3,DEPTHWISE_CONV_2D,1x40x40x8,1x40x40x8,12800,12800,25600,104,12800,25600,12800,2,25704,115200,0,DEPTHWISE_CONV_2D,20,339212,16960.6,16283,19007,16.9606,16.283,19.007,0.037312306597752795,6.792212539650721,1.4740044573894793
4,CONV_2D,1x40x40x8,1x40x40x16,12800,25600,38400,192,12800,38400,25600,2,38592,204800,0,CONV_2D,20,691845,34592.25,33606,35644,34.59225,33.606,35.644,0.07610088310001499,5.920401245943817,1.0840578453266265
5,DEPTHWISE_CONV_2D,1x40x40x16,1x20x20x16,25600,6400,32000,208,25600,32000,6400,2,32208,57600,0,DEPTHWISE_CONV_2D,20,191714,9585.7,9172,11221,9.585700000000001,9.172,11.221,0.021087967250809466,6.008950833011673,3.260064471034979
6,CONV_2D,1x20x20x16,1x20x20x32,6400,12800,19200,640,6400,19200,12800,2,19840,204800,0,CONV_2D,20,1085640,54282.0,53482,55336,54.282,53.482,55.336,0.11941715663002592,3.7728897240337496,0.345418370730629
7,DEPTHWISE_CONV_2D,1x20x20x32,1x20x20x32,12800,12800,25600,416,12800,25600,12800,2,26016,115200,0,DEPTHWISE_CONV_2D,20,303267,15163.35,14538,16733,15.163350000000001,14.538,16.733,0.03335846398411819,7.597265775702598,1.6487121909076818
8,CONV_2D,1x20x20x32,1x20x20x32,12800,12800,25600,1152,12800,25600,12800,2,26752,409600,0,CONV_2D,20,631782,31589.1,30669,33331,31.5891,30.669,33.331,0.06949413253936022,12.966497937579735,0.7914122276354819
9,DEPTHWISE_CONV_2D,1x20x20x32,1x10x10x32,12800,3200,16000,416,12800,16000,3200,2,16416,28800,0,DEPTHWISE_CONV_2D,20,101318,5065.9,4900,6012,5.0659,4.9,6.012,0.011144677310564243,5.685070767287156,3.0843482895438123
10,CONV_2D,1x10x10x32,1x10x10x64,3200,6400,9600,2304,3200,9600,6400,2,11904,204800,0,CONV_2D,20,312269,15613.45,15250,18631,15.61345,15.25,18.631,0.03434865709047342,13.116896009530244,0.60044384809251
11,DEPTHWISE_CONV_2D,1x10x10x64,1x10x10x64,6400,6400,12800,832,6400,12800,6400,2,13632,57600,0,DEPTHWISE_CONV_2D,20,135394,6769.7,6670,7377,6.769699999999999,6.67,7.377,0.014892935507871604,8.508501115263602,1.8464629156388024
12,CONV_2D,1x10x10x64,1x10x10x64,6400,6400,12800,4352,6400,12800,6400,2,17152,409600,0,CONV_2D,20,559784,27989.2,27311,29563,27.9892,27.311,29.563,0.06157456763474303,14.63421605476398,0.446600831749389
13,DEPTHWISE_CONV_2D,1x10x10x64,1x5x5x64,6400,1600,8000,832,6400,8000,1600,2,8832,14400,0,DEPTHWISE_CONV_2D,20,44100,2205.0,2012,3140,2.205,2.012,3.14,0.004850868250418318,6.530612244897959,3.5430839002267573
14,CONV_2D,1x5x5x64,1x5x5x128,1600,3200,4800,8704,1600,4800,3200,2,13504,204800,0,CONV_2D,20,307983,15399.15,14990,16813,15.399149999999999,14.99,16.813,0.03387720989497925,13.299435358445109,0.304399918177302
15,DEPTHWISE_CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,1664,3200,6400,3200,2,8064,28800,0,DEPTHWISE_CONV_2D,20,73920,3696.0,3572,4257,3.696,3.572,4.257,0.008130979162605943,7.792207792207792,1.6910173160173159
16,CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,16896,3200,6400,3200,2,23296,409600,0,CONV_2D,20,546277,27313.85,26686,28801,27.31385,26.686,28.801,0.06008883798716026,14.996055114895924,0.2288216417678211
17,DEPTHWISE_CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,1664,3200,6400,3200,2,8064,28800,0,DEPTHWISE_CONV_2D,20,76201,3810.05,3612,4771,3.8100500000000004,3.612,4.771,0.008381882348075426,7.558955919213658,1.6403984199682418
18,CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,16896,3200,6400,3200,2,23296,409600,0,CONV_2D,20,543090,27154.5,26616,28782,27.1545,26.616,28.782,0.05973827750838286,15.084056049641864,0.23016442946841226
19,DEPTHWISE_CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,1664,3200,6400,3200,2,8064,28800,0,DEPTHWISE_CONV_2D,20,100755,5037.75,4887,5989,5.03775,4.887,5.989,0.011082748992537361,5.716837874050915,1.240633219195077
20,CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,16896,3200,6400,3200,2,23296,409600,0,CONV_2D,20,538808,26940.4,26369,28533,26.9404,26.369,28.533,0.059267270300938625,15.20393164169797,0.23199358584133867
21,DEPTHWISE_CONV_2D,1x5x5x128,1x3x3x128,3200,1152,4352,1664,3200,4352,1152,2,6016,10368,0,DEPTHWISE_CONV_2D,20,37320,1866.0,1710,2690,1.866,1.71,2.69,0.0041050885057961825,5.556270096463023,2.277599142550911
22,CONV_2D,1x3x3x128,1x3x3x256,1152,2304,3456,33792,1152,3456,2304,2,37248,294912,0,CONV_2D,20,689796,34489.8,33440,36411,34.4898,33.44,36.411,0.07587549922144114,8.55070194666249,0.0978550180053233
