index,operator,mean_ms_baseline_96,input_activation_bytes_baseline_96,output_activation_bytes_baseline_96,activation_io_bytes_baseline_96,live_activation_during_bytes_baseline_96,constant_bytes_baseline_96,estimated_macs_baseline_96,mean_ms_fast_80,input_activation_bytes_fast_80,output_activation_bytes_fast_80,activation_io_bytes_fast_80,live_activation_during_bytes_fast_80,constant_bytes_fast_80,estimated_macs_fast_80,saved_ms,latency_reduction,activation_io_saved_bytes,live_activation_saved_bytes
0,MUL,17.881400000000003,27648,27648,55296,55296,1,0,12.87775,19200,19200,38400,38400,1,0,5.003650000000002,0.27982428668896175,16896,16896
1,ADD,37.71825,27648,27648,55296,55296,1,0,24.7517,19200,19200,38400,38400,1,0,12.966549999999998,0.34377390255380347,16896,16896
2,CONV_2D,69.30105,27648,18432,46080,46080,248,497664,47.7485,19200,12800,32000,32000,248,345600,21.552550000000004,0.31099889539913184,14080,14080
3,DEPTHWISE_CONV_2D,23.9206,18432,18432,36864,36864,104,165888,16.9606,12800,12800,25600,25600,104,115200,6.960000000000001,0.29096260127254336,11264,11264
4,CONV_2D,49.57325,18432,36864,55296,55296,192,294912,34.59225,12800,25600,38400,38400,192,204800,14.981000000000002,0.3021992707760738,16896,16896
5,DEPTHWISE_CONV_2D,14.1989,36864,9216,46080,46080,208,82944,9.5857,25600,6400,32000,32000,208,57600,4.613200000000001,0.32489840762312583,14080,14080
6,CONV_2D,79.71010000000001,9216,18432,27648,27648,640,294912,54.282,6400,12800,19200,19200,640,204800,25.428100000000015,0.31900725253136064,8448,8448
7,DEPTHWISE_CONV_2D,23.31895,18432,18432,36864,36864,416,165888,15.16335,12800,12800,25600,25600,416,115200,8.155600000000002,0.3497413048186132,11264,11264
8,CONV_2D,46.93675,18432,18432,36864,36864,1152,589824,31.5891,12800,12800,25600,25600,1152,409600,15.347650000000005,0.3269857840604644,11264,11264
9,DEPTHWISE_CONV_2D,7.2885,18432,4608,23040,23040,416,41472,5.0659,12800,3200,16000,16000,416,28800,2.2226,0.30494614804143516,7040,7040
10,CONV_2D,22.166400000000003,4608,9216,13824,13824,2304,294912,15.61345,3200,6400,9600,9600,2304,204800,6.552950000000003,0.2956253609065974,4224,4224
11,DEPTHWISE_CONV_2D,10.0152,9216,9216,18432,18432,832,82944,6.769699999999999,6400,6400,12800,12800,832,57600,3.2455000000000007,0.3240574327022926,5632,5632
12,CONV_2D,40.365550000000006,9216,9216,18432,18432,4352,589824,27.9892,6400,6400,12800,12800,4352,409600,12.376350000000006,0.3066067475855031,5632,5632
13,DEPTHWISE_CONV_2D,3.07,9216,2304,11520,11520,832,20736,2.205,6400,1600,8000,8000,832,14400,0.8649999999999998,0.28175895765472303,3520,3520
14,CONV_2D,24.3833,2304,4608,6912,6912,8704,294912,15.39915,1600,3200,4800,4800,8704,204800,8.984149999999998,0.3684550491524936,2112,2112
15,DEPTHWISE_CONV_2D,5.2241,4608,4608,9216,9216,1664,41472,3.696,3200,3200,6400,6400,1664,28800,1.5280999999999998,0.29250971459198705,2816,2816
16,CONV_2D,37.42965,4608,4608,9216,9216,16896,589824,27.31385,3200,3200,6400,6400,16896,409600,10.115800000000004,0.27026167757379516,2816,2816
17,DEPTHWISE_CONV_2D,5.114199999999999,4608,4608,9216,9216,1664,41472,3.81005,3200,3200,6400,6400,1664,28800,1.3041499999999995,0.25500567048609746,2816,2816
18,CONV_2D,38.17405,4608,4608,9216,9216,16896,589824,27.1545,3200,3200,6400,6400,16896,409600,11.019550000000002,0.28866599168807083,2816,2816
19,DEPTHWISE_CONV_2D,6.1977,4608,4608,9216,9216,1664,41472,5.03775,3200,3200,6400,6400,1664,28800,1.1599500000000003,0.187158139309744,2816,2816
20,CONV_2D,37.335550000000005,4608,4608,9216,9216,16896,589824,26.9404,3200,3200,6400,6400,16896,409600,10.395150000000005,0.27842498637357704,2816,2816
21,DEPTHWISE_CONV_2D,1.8794,4608,1152,5760,5760,1664,10368,1.866,3200,1152,4352,4352,1664,10368,0.013399999999999856,0.007129935085665506,1408,1408
22,CONV_2D,34.4606,1152,2304,3456,3456,33792,294912,34.4898,1152,2304,3456,3456,33792,294912,-0.029200000000003,-0.0008473445035781513,0,0
23,MEAN,3.1426,2304,256,2560,2560,8,0,3.1237,2304,256,2560,2560,8,0,0.018899999999999917,0.006014128428689647,0,0
24,FULLY_CONNECTED,0.25415,256,1,257,257,260,256,0.21245,256,1,257,257,260,256,0.04169999999999999,0.1640763328742868,0,0
25,LOGISTIC,0.363,1,1,2,2,0,0,0.31995,1,1,2,2,0,0,0.04304999999999998,0.11859504132231402,0,0
