index,operator,input_shape,output_shape,input_activation_bytes,output_activation_bytes,activation_io_bytes,constant_bytes,live_activation_before_bytes,live_activation_during_bytes,live_activation_after_bytes,live_tensor_count_during,live_plus_constants_bytes,estimated_macs,estimated_elementwise_ops,tag,count,total_us,mean_us,min_us,max_us,mean_ms,min_ms,max_ms,latency_share,mmacs_per_second,activation_kib_per_ms
0,MUL,1x80x80x3,1x80x80x3,19200,19200,38400,1,19200,38400,19200,2,38401,0,19200,MUL,20,280176,14008.8,13615,15131,14.008799999999999,13.615,15.131,0.03369959827648234,,2.6768888127462738
1,ADD,1x80x80x3,1x80x80x3,19200,19200,38400,1,19200,38400,19200,2,38401,0,19200,ADD,20,495124,24756.2,24028,26757,24.7562,24.028,26.757,0.0595535659622703,,1.5147720571008474
2,CONV_2D,1x80x80x3,1x40x40x8,19200,12800,32000,248,19200,32000,12800,2,32248,345600,0,CONV_2D,20,957959,47897.95,46915,49080,47.897949999999994,46.915,49.08,0.11522340766282889,7.215340113720942,0.6524287573894082
3,DEPTHWISE_CONV_2D,1x40x40x8,1x40x40x8,12800,12800,25600,104,12800,25600,12800,2,25704,115200,0,DEPTHWISE_CONV_2D,20,333373,16668.65,16133,18668,16.668650000000003,16.133,18.668,0.04009813894204268,6.911177569869185,1.4998215212389723
4,CONV_2D,1x40x40x8,1x40x40x16,12800,25600,38400,192,12800,38400,25600,2,38592,204800,0,CONV_2D,20,649828,32491.4,31609,33548,32.4914,31.609,33.548,0.07816137909317704,6.303206386920847,1.1541515601051355
5,DEPTHWISE_CONV_2D,1x40x40x16,1x20x20x16,25600,6400,32000,208,25600,32000,6400,2,32208,57600,0,DEPTHWISE_CONV_2D,20,181610,9080.5,8835,10686,9.0805,8.835,10.686,0.021844069595511245,6.343263036176422,3.441440449314465
6,CONV_2D,1x20x20x16,1x20x20x32,6400,12800,19200,640,6400,19200,12800,2,19840,204800,0,CONV_2D,20,407968,20398.4,20084,21829,20.398400000000002,20.084,21.829,0.0490704332621636,10.04000313750098,0.9191897403717938
7,DEPTHWISE_CONV_2D,1x20x20x32,1x20x20x32,12800,12800,25600,416,12800,25600,12800,2,26016,115200,0,DEPTHWISE_CONV_2D,20,289848,14492.4,14083,16124,14.4924,14.083,16.124,0.03486294743747449,7.948993955452513,1.725042091027021
8,CONV_2D,1x20x20x32,1x20x20x32,12800,12800,25600,1152,12800,25600,12800,2,26752,409600,0,CONV_2D,20,627611,31380.55,30441,32790,31.38055,30.441,32.79,0.075489116033855,13.052671160957983,0.7966718237889393
9,DEPTHWISE_CONV_2D,1x20x20x32,1x10x10x32,12800,3200,16000,416,12800,16000,3200,2,16416,28800,0,DEPTHWISE_CONV_2D,20,86251,4312.55,4161,4979,4.31255,4.161,4.979,0.0103742792064448,6.678183441351404,3.6231463983026284
10,CONV_2D,1x10x10x32,1x10x10x64,3200,6400,9600,2304,3200,9600,6400,2,11904,204800,0,CONV_2D,20,312177,15608.85,15251,17183,15.60885,15.251,17.183,0.03754868186838783,13.120761619209615,0.6006208016605964
11,DEPTHWISE_CONV_2D,1x10x10x64,1x10x10x64,6400,6400,12800,832,6400,12800,6400,2,13632,57600,0,DEPTHWISE_CONV_2D,20,139852,6992.6,6734,8338,6.9926,6.734,8.338,0.016821413033816634,8.237279409661642,1.7876040385550438
12,CONV_2D,1x10x10x64,1x10x10x64,6400,6400,12800,4352,6400,12800,6400,2,17152,409600,0,CONV_2D,20,534051,26702.55,26134,28491,26.70255,26.134,28.491,0.06423570955097392,15.33935897507916,0.4681200859093982
13,DEPTHWISE_CONV_2D,1x10x10x64,1x5x5x64,6400,1600,8000,832,6400,8000,1600,2,8832,14400,0,DEPTHWISE_CONV_2D,20,40665,2033.25,1951,2294,2.03325,1.951,2.294,0.0048911904085758755,7.082257469568425,3.8423705889585644
14,CONV_2D,1x5x5x64,1x5x5x128,1600,3200,4800,8704,1600,4800,3200,2,13504,204800,0,CONV_2D,20,292723,14636.15,14349,16291,14.636149999999999,14.349,16.291,0.0352087527350192,13.992750825866093,0.3202686498840201
15,DEPTHWISE_CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,1664,3200,6400,3200,2,8064,28800,0,DEPTHWISE_CONV_2D,20,71422,3571.1,3454,4143,3.5711,3.454,4.143,0.00859064555173506,8.064741956259976,1.7501610148133628
16,CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,16896,3200,6400,3200,2,23296,409600,0,CONV_2D,20,550467,27523.35,26665,28917,27.523349999999997,26.665,28.917,0.06621022772992835,14.881909360597458,0.22707991578060086
17,DEPTHWISE_CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,1664,3200,6400,3200,2,8064,28800,0,DEPTHWISE_CONV_2D,20,76504,3825.2,3713,3951,3.8251999999999997,3.713,3.951,0.009201909037690612,7.529018090557357,1.6339014953466486
18,CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,16896,3200,6400,3200,2,23296,409600,0,CONV_2D,20,571600,28580.0,27968,30168,28.58,27.968,30.168,0.06875210715706309,14.331700489853045,0.21868439468159553
19,DEPTHWISE_CONV_2D,1x5x5x128,1x5x5x128,3200,3200,6400,1664,3200,6400,3200,2,8064,28800,0,DEPTHWISE_CONV_2D,20,76218,3810.9,3704,4485,3.8109,3.704,4.485,0.009167508928091383,7.557269936235535,1.6400325382455587
