stage,region,total,free,largest,minimum
boot,internal,466651,383063,253952,383063
boot,psram,8388608,8385720,8257536,8385720
boot,dma,458739,375531,253952,375531
before_internal_model,internal,466651,383063,253952,383063
before_internal_model,psram,8388608,8385720,8257536,8385720
before_internal_model,dma,458739,375531,253952,375531
after_internal_model,internal,466651,382843,245760,137079
after_internal_model,psram,8388608,8385720,8257536,8385720
after_internal_model,dma,458739,375311,245760,129547
before_psram_model,internal,466651,382843,245760,137079
before_psram_model,psram,8388608,8385720,8257536,8385720
before_psram_model,dma,458739,375311,245760,129547
after_psram_model,internal,466651,382843,245760,137079
after_psram_model,psram,8388608,8385720,8257536,8139956
after_psram_model,dma,458739,375311,245760,129547
complete,internal,466651,382843,245760,137079
complete,psram,8388608,8385720,8257536,7861424
complete,dma,458739,375311,245760,129547
