placement,index,tag,count,total_us,mean_us,min_us,max_us
internal,0,MUL,20,344805,17240.25,17231,17249
internal,1,ADD,20,800015,40000.75,39993,40011
internal,2,CONV_2D,20,364289,18214.45,18194,18237
internal,3,DEPTHWISE_CONV_2D,20,131768,6588.4,6577,6603
internal,4,CONV_2D,20,162321,8116.05,8101,8136
internal,5,DEPTHWISE_CONV_2D,20,52353,2617.65,2611,2627
internal,6,CONV_2D,20,85234,4261.7,4254,4270
internal,7,DEPTHWISE_CONV_2D,20,93675,4683.75,4681,4687
internal,8,CONV_2D,20,95182,4759.1,4755,4766
internal,9,DEPTHWISE_CONV_2D,20,25351,1267.55,1267,1269
internal,10,CONV_2D,20,49189,2459.45,2456,2466
internal,11,DEPTHWISE_CONV_2D,20,47616,2380.8,2376,2383
internal,12,CONV_2D,20,60861,3043.05,3042,3044
internal,13,PAD,20,36646,1832.3,1826,1837
internal,14,DEPTHWISE_CONV_2D,20,11710,585.5,581,593
internal,15,CONV_2D,20,34535,1726.75,1718,1743
internal,16,DEPTHWISE_CONV_2D,20,23193,1159.65,1158,1162
internal,17,CONV_2D,20,54174,2708.7,2706,2713
internal,18,DEPTHWISE_CONV_2D,20,22886,1144.3,1143,1147
internal,19,CONV_2D,20,52288,2614.4,2609,2616
internal,20,DEPTHWISE_CONV_2D,20,22734,1136.7,1136,1141
internal,21,CONV_2D,20,53861,2693.05,2689,2698
internal,22,DEPTHWISE_CONV_2D,20,22919,1145.95,1143,1150
internal,23,CONV_2D,20,52160,2608.0,2606,2613
internal,24,DEPTHWISE_CONV_2D,20,22766,1138.3,1136,1143
internal,25,CONV_2D,20,53921,2696.05,2691,2699
internal,26,PAD,20,16511,825.55,825,826
internal,27,DEPTHWISE_CONV_2D,20,6521,326.05,324,328
internal,28,CONV_2D,20,54830,2741.5,2736,2749
internal,29,DEPTHWISE_CONV_2D,20,12854,642.7,634,649
internal,30,CONV_2D,20,105026,5251.3,5248,5259
internal,31,MEAN,20,38829,1941.45,1939,1946
internal,32,FULLY_CONNECTED,20,2504,125.2,120,130
internal,33,LOGISTIC,20,2784,139.2,133,149
psram,0,MUL,20,353484,17674.2,17664,17688
psram,1,ADD,20,809668,40483.4,40475,40499
psram,2,CONV_2D,20,374969,18748.45,18728,18765
psram,3,DEPTHWISE_CONV_2D,20,193688,9684.4,9676,9698
psram,4,CONV_2D,20,195638,9781.9,9768,9799
psram,5,DEPTHWISE_CONV_2D,20,122257,6112.85,6106,6125
psram,6,CONV_2D,20,102644,5132.2,5126,5140
psram,7,DEPTHWISE_CONV_2D,20,165342,8267.1,8261,8278
psram,8,CONV_2D,20,118876,5943.8,5939,5950
psram,9,DEPTHWISE_CONV_2D,20,75377,3768.85,3763,3773
psram,10,CONV_2D,20,55563,2778.15,2772,2782
psram,11,DEPTHWISE_CONV_2D,20,59872,2993.6,2992,2994
psram,12,CONV_2D,20,71415,3570.75,3566,3575
psram,13,PAD,20,41078,2053.9,2051,2062
psram,14,DEPTHWISE_CONV_2D,20,12644,632.2,623,642
psram,15,CONV_2D,20,38929,1946.45,1938,1962
psram,16,DEPTHWISE_CONV_2D,20,30526,1526.3,1519,1531
psram,17,CONV_2D,20,61308,3065.4,3062,3072
psram,18,DEPTHWISE_CONV_2D,20,28636,1431.8,1428,1438
psram,19,CONV_2D,20,59215,2960.75,2955,2964
psram,20,DEPTHWISE_CONV_2D,20,28583,1429.15,1426,1433
psram,21,CONV_2D,20,62721,3136.05,3133,3140
psram,22,DEPTHWISE_CONV_2D,20,29236,1461.8,1459,1465
psram,23,CONV_2D,20,65258,3262.9,3260,3269
psram,24,DEPTHWISE_CONV_2D,20,29637,1481.85,1479,1485
psram,25,CONV_2D,20,62813,3140.65,3137,3145
psram,26,PAD,20,18428,921.4,916,924
psram,27,DEPTHWISE_CONV_2D,20,7716,385.8,382,391
psram,28,CONV_2D,20,64110,3205.5,3199,3212
psram,29,DEPTHWISE_CONV_2D,20,15765,788.25,779,794
psram,30,CONV_2D,20,116639,5831.95,5826,5835
psram,31,MEAN,20,39152,1957.6,1955,1963
psram,32,FULLY_CONNECTED,20,2636,131.8,127,144
psram,33,LOGISTIC,20,2797,139.85,133,150
