index,operator,input_shape,output_shape,input_activation_bytes,output_activation_bytes,activation_io_bytes,constant_bytes,live_activation_before_bytes,live_activation_during_bytes,live_activation_after_bytes,live_tensor_count_during,live_plus_constants_bytes,estimated_macs,estimated_elementwise_ops,tag,count,total_us,mean_us,min_us,max_us,mean_ms,min_ms,max_ms,latency_share,mmacs_per_second,activation_kib_per_ms
0,MUL,1x120x120x3,1x120x120x3,43200,43200,86400,1,43200,86400,43200,2,86401,0,43200,MUL,20,614843,30742.15,30224,31756,30.742150000000002,30.224,31.756,0.027548585711151864,,2.7446030937979287
1,ADD,1x120x120x3,1x120x120x3,43200,43200,86400,1,43200,86400,43200,2,86401,0,43200,ADD,20,1208445,60422.25,59461,61283,60.42225,59.461,61.283,0.05414544958585023,,1.3964226754217197
2,CONV_2D,1x120x120x3,1x60x60x8,43200,28800,72000,248,43200,72000,28800,2,72248,777600,0,CONV_2D,20,2168119,108405.95,107801,111371,108.40594999999999,107.801,111.371,0.09714449396590163,7.173038011289971,0.6486036974907743
3,DEPTHWISE_CONV_2D,1x60x60x8,1x60x60x8,28800,28800,57600,104,28800,57600,28800,2,57704,259200,0,DEPTHWISE_CONV_2D,20,758204,37910.2,37330,39006,37.910199999999996,37.33,39.006,0.03397200241449961,6.837210038459307,1.4837695395962038
4,CONV_2D,1x60x60x8,1x60x60x16,28800,57600,86400,192,28800,86400,57600,2,86592,460800,0,CONV_2D,20,1440566,72028.3,70960,72535,72.0283,70.96,72.535,0.06454583678039955,6.397485432809049,1.1714145689957975
5,DEPTHWISE_CONV_2D,1x60x60x16,1x30x30x16,57600,14400,72000,208,57600,72000,14400,2,72208,129600,0,DEPTHWISE_CONV_2D,20,461091,23054.55,22423,25682,23.05455,22.423,25.682,0.020659591040543233,5.6214499957709,3.0498318119416776
6,CONV_2D,1x30x30x16,1x30x30x32,14400,28800,43200,640,14400,43200,28800,2,43840,460800,0,CONV_2D,20,960645,48032.25,47011,51332,48.03225,47.011,51.332,0.04304255089590266,9.593554330684071,0.8783161313492498
7,DEPTHWISE_CONV_2D,1x30x30x32,1x30x30x32,28800,28800,57600,416,28800,57600,28800,2,58016,259200,0,DEPTHWISE_CONV_2D,20,722675,36133.75,35428,37253,36.13375,35.428,37.253,0.03238009407085495,7.173349015809319,1.556716366278064
8,CONV_2D,1x30x30x32,1x30x30x32,28800,28800,57600,1152,28800,57600,28800,2,58752,921600,0,CONV_2D,20,1474331,73716.55,72516,75900,73.71655,72.516,75.9,0.06605870754014966,12.501941558578094,0.7630579564561826
9,DEPTHWISE_CONV_2D,1x30x30x32,1x15x15x32,28800,7200,36000,416,28800,36000,7200,2,36416,64800,0,DEPTHWISE_CONV_2D,20,223769,11188.45,10717,12428,11.188450000000001,10.717,12.428,0.010026168429987397,5.7916869628947705,3.14219127761218
10,CONV_2D,1x15x15x32,1x15x15x64,7200,14400,21600,2304,7200,21600,14400,2,23904,460800,0,CONV_2D,20,707270,35363.5,34618,38107,35.3635,34.618,38.107,0.031689859388374556,13.030384435929701,0.596483662533403
11,DEPTHWISE_CONV_2D,1x15x15x64,1x15x15x64,14400,14400,28800,832,14400,28800,14400,2,29632,129600,0,DEPTHWISE_CONV_2D,20,369392,18469.6,17832,20156,18.4696,17.832,20.156,0.016550936048737332,7.016935937973752,1.522772555983887
12,CONV_2D,1x15x15x64,1x15x15x64,14400,14400,28800,4352,14400,28800,14400,2,33152,921600,0,CONV_2D,20,1380216,69010.8,67539,72447,69.0108,67.539,72.447,0.0618418015264111,13.35443148029004,0.4075449060147107
13,PAD,1x15x15x64,1x16x16x64,14400,16384,30784,32,14400,30784,16384,2,30816,0,16384,PAD,20,90140,4507.0,4156,6223,4.507,4.156,6.223,0.004038802614656471,,6.67017972043488
14,DEPTHWISE_CONV_2D,1x16x16x64,1x7x7x64,16384,3136,19520,832,16384,19520,3136,2,20352,28224,0,DEPTHWISE_CONV_2D,20,162844,8142.2,8017,8942,8.142199999999999,8.017,8.942,0.007296369791226075,3.4663850065092974,2.341197710692442
15,CONV_2D,1x7x7x64,1x7x7x128,3136,6272,9408,8704,3136,9408,6272,2,18112,401408,0,CONV_2D,20,548271,27413.55,26773,29059,27.41355,26.773,29.059,0.02456576823097757,14.642685825075556,0.33514448146993003
