layer_index,layer_name,layer_type,live_tensors,live_elements,live_float32_bytes,live_int8_bytes_hypothetical
1,normalize,Rescaling,2,86400,345600,86400
2,camera_augmentation,Sequential,2,86400,345600,86400
3,conv1,Conv2D,2,72000,288000,72000
4,conv1_bn,BatchNormalization,2,57600,230400,57600
5,conv1_relu,ReLU,2,57600,230400,57600
6,conv_dw_1,DepthwiseConv2D,2,57600,230400,57600
7,conv_dw_1_bn,BatchNormalization,2,57600,230400,57600
8,conv_dw_1_relu,ReLU,2,57600,230400,57600
9,conv_pw_1,Conv2D,2,86400,345600,86400
10,conv_pw_1_bn,BatchNormalization,2,115200,460800,115200
11,conv_pw_1_relu,ReLU,2,115200,460800,115200
12,conv_pad_2,ZeroPadding2D,2,117136,468544,117136
13,conv_dw_2,DepthwiseConv2D,2,73936,295744,73936
14,conv_dw_2_bn,BatchNormalization,2,28800,115200,28800
15,conv_dw_2_relu,ReLU,2,28800,115200,28800
16,conv_pw_2,Conv2D,2,43200,172800,43200
17,conv_pw_2_bn,BatchNormalization,2,57600,230400,57600
18,conv_pw_2_relu,ReLU,2,57600,230400,57600
19,conv_dw_3,DepthwiseConv2D,2,57600,230400,57600
20,conv_dw_3_bn,BatchNormalization,2,57600,230400,57600
21,conv_dw_3_relu,ReLU,2,57600,230400,57600
22,conv_pw_3,Conv2D,2,57600,230400,57600
23,conv_pw_3_bn,BatchNormalization,2,57600,230400,57600
24,conv_pw_3_relu,ReLU,2,57600,230400,57600
25,conv_pad_4,ZeroPadding2D,2,59552,238208,59552
26,conv_dw_4,DepthwiseConv2D,2,37952,151808,37952
27,conv_dw_4_bn,BatchNormalization,2,14400,57600,14400
28,conv_dw_4_relu,ReLU,2,14400,57600,14400
29,conv_pw_4,Conv2D,2,21600,86400,21600
30,conv_pw_4_bn,BatchNormalization,2,28800,115200,28800
31,conv_pw_4_relu,ReLU,2,28800,115200,28800
32,conv_dw_5,DepthwiseConv2D,2,28800,115200,28800
33,conv_dw_5_bn,BatchNormalization,2,28800,115200,28800
34,conv_dw_5_relu,ReLU,2,28800,115200,28800
35,conv_pw_5,Conv2D,2,28800,115200,28800
36,conv_pw_5_bn,BatchNormalization,2,28800,115200,28800
37,conv_pw_5_relu,ReLU,2,28800,115200,28800
38,conv_pad_6,ZeroPadding2D,2,30784,123136,30784
39,conv_dw_6,DepthwiseConv2D,2,19520,78080,19520
40,conv_dw_6_bn,BatchNormalization,2,6272,25088,6272
41,conv_dw_6_relu,ReLU,2,6272,25088,6272
42,conv_pw_6,Conv2D,2,9408,37632,9408
43,conv_pw_6_bn,BatchNormalization,2,12544,50176,12544
44,conv_pw_6_relu,ReLU,2,12544,50176,12544
45,conv_dw_7,DepthwiseConv2D,2,12544,50176,12544
46,conv_dw_7_bn,BatchNormalization,2,12544,50176,12544
47,conv_dw_7_relu,ReLU,2,12544,50176,12544
48,conv_pw_7,Conv2D,2,12544,50176,12544
49,conv_pw_7_bn,BatchNormalization,2,12544,50176,12544
50,conv_pw_7_relu,ReLU,2,12544,50176,12544
51,conv_dw_8,DepthwiseConv2D,2,12544,50176,12544
52,conv_dw_8_bn,BatchNormalization,2,12544,50176,12544
53,conv_dw_8_relu,ReLU,2,12544,50176,12544
54,conv_pw_8,Conv2D,2,12544,50176,12544
55,conv_pw_8_bn,BatchNormalization,2,12544,50176,12544
56,conv_pw_8_relu,ReLU,2,12544,50176,12544
57,conv_dw_9,DepthwiseConv2D,2,12544,50176,12544
58,conv_dw_9_bn,BatchNormalization,2,12544,50176,12544
59,conv_dw_9_relu,ReLU,2,12544,50176,12544
60,conv_pw_9,Conv2D,2,12544,50176,12544
61,conv_pw_9_bn,BatchNormalization,2,12544,50176,12544
62,conv_pw_9_relu,ReLU,2,12544,50176,12544
63,conv_dw_10,DepthwiseConv2D,2,12544,50176,12544
64,conv_dw_10_bn,BatchNormalization,2,12544,50176,12544
65,conv_dw_10_relu,ReLU,2,12544,50176,12544
66,conv_pw_10,Conv2D,2,12544,50176,12544
67,conv_pw_10_bn,BatchNormalization,2,12544,50176,12544
68,conv_pw_10_relu,ReLU,2,12544,50176,12544
69,conv_dw_11,DepthwiseConv2D,2,12544,50176,12544
70,conv_dw_11_bn,BatchNormalization,2,12544,50176,12544
71,conv_dw_11_relu,ReLU,2,12544,50176,12544
72,conv_pw_11,Conv2D,2,12544,50176,12544
73,conv_pw_11_bn,BatchNormalization,2,12544,50176,12544
74,conv_pw_11_relu,ReLU,2,12544,50176,12544
75,conv_pad_12,ZeroPadding2D,2,14464,57856,14464
76,conv_dw_12,DepthwiseConv2D,2,9344,37376,9344
77,conv_dw_12_bn,BatchNormalization,2,2304,9216,2304
78,conv_dw_12_relu,ReLU,2,2304,9216,2304
79,conv_pw_12,Conv2D,2,3456,13824,3456
80,conv_pw_12_bn,BatchNormalization,2,4608,18432,4608
81,conv_pw_12_relu,ReLU,2,4608,18432,4608
82,conv_dw_13,DepthwiseConv2D,2,4608,18432,4608
83,conv_dw_13_bn,BatchNormalization,2,4608,18432,4608
84,conv_dw_13_relu,ReLU,2,4608,18432,4608
85,conv_pw_13,Conv2D,2,4608,18432,4608
86,conv_pw_13_bn,BatchNormalization,2,4608,18432,4608
87,conv_pw_13_relu,ReLU,2,4608,18432,4608
88,global_average,GlobalAveragePooling2D,2,2560,10240,2560
89,student_dropout,Dropout,2,512,2048,512
90,person_logit,Dense,2,257,1028,257
91,person_probability,Activation,2,2,8,2
