layer_index,layer_name,layer_type,stage,input_shape,output_shape,output_height,output_width,output_channels,parameters,trainable_parameters,non_trainable_parameters,weight_bytes,weight_sparsity,near_zero_fraction,kernel_sparsity,output_elements_batch1,output_float32_bytes_batch1,output_int8_bytes_batch1_hypothetical,estimated_macs_batch1,parameters_share,estimated_macs_batch1_share,output_float32_bytes_batch1_share
0,image,InputLayer,input,—,"(None, 120, 120, 3)",120.0,120.0,3,0,0,0,0,,,,43200,172800,43200,0,0.0,0.0,0.033625114224201676
1,normalize,Rescaling,preprocess,"(None, 120, 120, 3)","(None, 120, 120, 3)",120.0,120.0,3,0,0,0,0,,,,43200,172800,43200,0,0.0,0.0,0.033625114224201676
2,camera_augmentation,Sequential,head,"(None, 120, 120, 3)","(None, 120, 120, 3)",120.0,120.0,3,0,0,0,0,,,,43200,172800,43200,0,0.0,0.0,0.033625114224201676
3,conv1,Conv2D,head,"(None, 120, 120, 3)","(None, 60, 60, 8)",60.0,60.0,8,216,216,0,864,0.0,0.25,0.0,28800,115200,28800,777600,0.000987198413169958,0.07414436487570902,0.02241674281613445
4,conv1_bn,BatchNormalization,head,"(None, 60, 60, 8)","(None, 60, 60, 8)",60.0,60.0,8,32,16,16,128,0.0,0.15625,,28800,115200,28800,0,0.00014625161676591971,0.0,0.02241674281613445
5,conv1_relu,ReLU,head,"(None, 60, 60, 8)","(None, 60, 60, 8)",60.0,60.0,8,0,0,0,0,,,,28800,115200,28800,0,0.0,0.0,0.02241674281613445
6,conv_dw_1,DepthwiseConv2D,head,"(None, 60, 60, 8)","(None, 60, 60, 8)",60.0,60.0,8,72,72,0,288,0.0,0.0,0.0,28800,115200,28800,259200,0.0003290661377233194,0.024714788291903007,0.02241674281613445
7,conv_dw_1_bn,BatchNormalization,head,"(None, 60, 60, 8)","(None, 60, 60, 8)",60.0,60.0,8,32,16,16,128,0.0,0.125,,28800,115200,28800,0,0.00014625161676591971,0.0,0.02241674281613445
8,conv_dw_1_relu,ReLU,head,"(None, 60, 60, 8)","(None, 60, 60, 8)",60.0,60.0,8,0,0,0,0,,,,28800,115200,28800,0,0.0,0.0,0.02241674281613445
9,conv_pw_1,Conv2D,head,"(None, 60, 60, 8)","(None, 60, 60, 16)",60.0,60.0,16,128,128,0,512,0.0,0.3984375,0.0,57600,230400,57600,460800,0.0005850064670636789,0.04393740140782757,0.0448334856322689
10,conv_pw_1_bn,BatchNormalization,head,"(None, 60, 60, 16)","(None, 60, 60, 16)",60.0,60.0,16,64,32,32,256,0.0,0.09375,,57600,230400,57600,0,0.00029250323353183943,0.0,0.0448334856322689
11,conv_pw_1_relu,ReLU,head,"(None, 60, 60, 16)","(None, 60, 60, 16)",60.0,60.0,16,0,0,0,0,,,,57600,230400,57600,0,0.0,0.0,0.0448334856322689
12,conv_pad_2,ZeroPadding2D,head,"(None, 60, 60, 16)","(None, 61, 61, 16)",61.0,61.0,16,0,0,0,0,,,,59536,238144,59536,0,0.0,0.0,0.0463403888993535
13,conv_dw_2,DepthwiseConv2D,head,"(None, 61, 61, 16)","(None, 30, 30, 16)",30.0,30.0,16,144,144,0,576,0.0,0.0,0.0,14400,57600,14400,129600,0.0006581322754466388,0.012357394145951503,0.011208371408067226
14,conv_dw_2_bn,BatchNormalization,head,"(None, 30, 30, 16)","(None, 30, 30, 16)",30.0,30.0,16,64,32,32,256,0.0,0.09375,,14400,57600,14400,0,0.00029250323353183943,0.0,0.011208371408067226
15,conv_dw_2_relu,ReLU,head,"(None, 30, 30, 16)","(None, 30, 30, 16)",30.0,30.0,16,0,0,0,0,,,,14400,57600,14400,0,0.0,0.0,0.011208371408067226
16,conv_pw_2,Conv2D,head,"(None, 30, 30, 16)","(None, 30, 30, 32)",30.0,30.0,32,512,512,0,2048,0.0,0.162109375,0.0,28800,115200,28800,460800,0.0023400258682547154,0.04393740140782757,0.02241674281613445
17,conv_pw_2_bn,BatchNormalization,head,"(None, 30, 30, 32)","(None, 30, 30, 32)",30.0,30.0,32,128,64,64,512,0.0,0.046875,,28800,115200,28800,0,0.0005850064670636789,0.0,0.02241674281613445
18,conv_pw_2_relu,ReLU,head,"(None, 30, 30, 32)","(None, 30, 30, 32)",30.0,30.0,32,0,0,0,0,,,,28800,115200,28800,0,0.0,0.0,0.02241674281613445
19,conv_dw_3,DepthwiseConv2D,head,"(None, 30, 30, 32)","(None, 30, 30, 32)",30.0,30.0,32,288,288,0,1152,0.0,0.0,0.0,28800,115200,28800,259200,0.0013162645508932775,0.024714788291903007,0.02241674281613445
20,conv_dw_3_bn,BatchNormalization,head,"(None, 30, 30, 32)","(None, 30, 30, 32)",30.0,30.0,32,128,64,64,512,0.0,0.046875,,28800,115200,28800,0,0.0005850064670636789,0.0,0.02241674281613445
21,conv_dw_3_relu,ReLU,head,"(None, 30, 30, 32)","(None, 30, 30, 32)",30.0,30.0,32,0,0,0,0,,,,28800,115200,28800,0,0.0,0.0,0.02241674281613445
22,conv_pw_3,Conv2D,head,"(None, 30, 30, 32)","(None, 30, 30, 32)",30.0,30.0,32,1024,1024,0,4096,0.0,0.09375,0.0,28800,115200,28800,921600,0.004680051736509431,0.08787480281565514,0.02241674281613445
23,conv_pw_3_bn,BatchNormalization,head,"(None, 30, 30, 32)","(None, 30, 30, 32)",30.0,30.0,32,128,64,64,512,0.0,0.0,,28800,115200,28800,0,0.0005850064670636789,0.0,0.02241674281613445
24,conv_pw_3_relu,ReLU,head,"(None, 30, 30, 32)","(None, 30, 30, 32)",30.0,30.0,32,0,0,0,0,,,,28800,115200,28800,0,0.0,0.0,0.02241674281613445
25,conv_pad_4,ZeroPadding2D,head,"(None, 30, 30, 32)","(None, 31, 31, 32)",31.0,31.0,32,0,0,0,0,,,,30752,123008,30752,0,0.0,0.0,0.023936099829228008
26,conv_dw_4,DepthwiseConv2D,head,"(None, 31, 31, 32)","(None, 15, 15, 32)",15.0,15.0,32,288,288,0,1152,0.0,0.0,0.0,7200,28800,7200,64800,0.0013162645508932775,0.006178697072975752,0.005604185704033613
27,conv_dw_4_bn,BatchNormalization,head,"(None, 15, 15, 32)","(None, 15, 15, 32)",15.0,15.0,32,128,64,64,512,0.0,0.0,,7200,28800,7200,0,0.0005850064670636789,0.0,0.005604185704033613
28,conv_dw_4_relu,ReLU,head,"(None, 15, 15, 32)","(None, 15, 15, 32)",15.0,15.0,32,0,0,0,0,,,,7200,28800,7200,0,0.0,0.0,0.005604185704033613
29,conv_pw_4,Conv2D,head,"(None, 15, 15, 32)","(None, 15, 15, 64)",15.0,15.0,64,2048,2048,0,8192,0.0,0.0,0.0,14400,57600,14400,460800,0.009360103473018862,0.04393740140782757,0.011208371408067226
30,conv_pw_4_bn,BatchNormalization,head,"(None, 15, 15, 64)","(None, 15, 15, 64)",15.0,15.0,64,256,128,128,1024,0.0,0.0,,14400,57600,14400,0,0.0011700129341273577,0.0,0.011208371408067226
31,conv_pw_4_relu,ReLU,head,"(None, 15, 15, 64)","(None, 15, 15, 64)",15.0,15.0,64,0,0,0,0,,,,14400,57600,14400,0,0.0,0.0,0.011208371408067226
32,conv_dw_5,DepthwiseConv2D,head,"(None, 15, 15, 64)","(None, 15, 15, 64)",15.0,15.0,64,576,576,0,2304,0.0,0.0,0.0,14400,57600,14400,129600,0.002632529101786555,0.012357394145951503,0.011208371408067226
33,conv_dw_5_bn,BatchNormalization,head,"(None, 15, 15, 64)","(None, 15, 15, 64)",15.0,15.0,64,256,128,128,1024,0.0,0.0,,14400,57600,14400,0,0.0011700129341273577,0.0,0.011208371408067226
34,conv_dw_5_relu,ReLU,head,"(None, 15, 15, 64)","(None, 15, 15, 64)",15.0,15.0,64,0,0,0,0,,,,14400,57600,14400,0,0.0,0.0,0.011208371408067226
35,conv_pw_5,Conv2D,head,"(None, 15, 15, 64)","(None, 15, 15, 64)",15.0,15.0,64,4096,4096,0,16384,0.0,0.015625,0.0,14400,57600,14400,921600,0.018720206946037724,0.08787480281565514,0.011208371408067226
36,conv_pw_5_bn,BatchNormalization,head,"(None, 15, 15, 64)","(None, 15, 15, 64)",15.0,15.0,64,256,128,128,1024,0.0,0.0078125,,14400,57600,14400,0,0.0011700129341273577,0.0,0.011208371408067226
37,conv_pw_5_relu,ReLU,head,"(None, 15, 15, 64)","(None, 15, 15, 64)",15.0,15.0,64,0,0,0,0,,,,14400,57600,14400,0,0.0,0.0,0.011208371408067226
38,conv_pad_6,ZeroPadding2D,head,"(None, 15, 15, 64)","(None, 16, 16, 64)",16.0,16.0,64,0,0,0,0,,,,16384,65536,16384,0,0.0,0.0,0.01275263591317871
39,conv_dw_6,DepthwiseConv2D,head,"(None, 16, 16, 64)","(None, 7, 7, 64)",7.0,7.0,64,576,576,0,2304,0.0,0.0,0.0,3136,12544,3136,28224,0.002632529101786555,0.0026911658362294387,0.0024409342177568625
40,conv_dw_6_bn,BatchNormalization,head,"(None, 7, 7, 64)","(None, 7, 7, 64)",7.0,7.0,64,256,128,128,1024,0.0,0.0078125,,3136,12544,3136,0,0.0011700129341273577,0.0,0.0024409342177568625
41,conv_dw_6_relu,ReLU,head,"(None, 7, 7, 64)","(None, 7, 7, 64)",7.0,7.0,64,0,0,0,0,,,,3136,12544,3136,0,0.0,0.0,0.0024409342177568625
42,conv_pw_6,Conv2D,head,"(None, 7, 7, 64)","(None, 7, 7, 128)",7.0,7.0,128,8192,8192,0,32768,0.0,0.015625,0.0,6272,25088,6272,401408,0.03744041389207545,0.03827435855970757,0.004881868435513725
43,conv_pw_6_bn,BatchNormalization,head,"(None, 7, 7, 128)","(None, 7, 7, 128)",7.0,7.0,128,512,256,256,2048,0.0,0.0,,6272,25088,6272,0,0.0023400258682547154,0.0,0.004881868435513725
44,conv_pw_6_relu,ReLU,head,"(None, 7, 7, 128)","(None, 7, 7, 128)",7.0,7.0,128,0,0,0,0,,,,6272,25088,6272,0,0.0,0.0,0.004881868435513725
45,conv_dw_7,DepthwiseConv2D,head,"(None, 7, 7, 128)","(None, 7, 7, 128)",7.0,7.0,128,1152,1152,0,4608,0.0,0.0,0.0,6272,25088,6272,56448,0.00526505820357311,0.005382331672458877,0.004881868435513725
46,conv_dw_7_bn,BatchNormalization,head,"(None, 7, 7, 128)","(None, 7, 7, 128)",7.0,7.0,128,512,256,256,2048,0.0,0.0,,6272,25088,6272,0,0.0023400258682547154,0.0,0.004881868435513725
47,conv_dw_7_relu,ReLU,head,"(None, 7, 7, 128)","(None, 7, 7, 128)",7.0,7.0,128,0,0,0,0,,,,6272,25088,6272,0,0.0,0.0,0.004881868435513725
48,conv_pw_7,Conv2D,head,"(None, 7, 7, 128)","(None, 7, 7, 128)",7.0,7.0,128,16384,16384,0,65536,0.0,0.0,0.0,6272,25088,6272,802816,0.0748808277841509,0.07654871711941515,0.004881868435513725
49,conv_pw_7_bn,BatchNormalization,head,"(None, 7, 7, 128)","(None, 7, 7, 128)",7.0,7.0,128,512,256,256,2048,0.0,0.0,,6272,25088,6272,0,0.0023400258682547154,0.0,0.004881868435513725
50,conv_pw_7_relu,ReLU,head,"(None, 7, 7, 128)","(None, 7, 7, 128)",7.0,7.0,128,0,0,0,0,,,,6272,25088,6272,0,0.0,0.0,0.004881868435513725
51,conv_dw_8,DepthwiseConv2D,head,"(None, 7, 7, 128)","(None, 7, 7, 128)",7.0,7.0,128,1152,1152,0,4608,0.0,0.0,0.0,6272,25088,6272,56448,0.00526505820357311,0.005382331672458877,0.004881868435513725
