epoch,accuracy,gradient_norm,hard_component,hard_loss,learning_rate,loss,pr_auc,precision,recall,regularization,roc_auc,soft_component,soft_loss_kl,val_accuracy,val_gradient_norm,val_hard_component,val_hard_loss,val_loss,val_pr_auc,val_precision,val_recall,val_regularization,val_roc_auc,val_soft_component,val_soft_loss_kl,stage,epoch_all
0,0.5145833492279053,3.349355697631836,0.4761143922805786,0.9522287845611572,0.0003000000142492,1.0339463949203491,0.520309329032898,0.5156557559967041,0.4803333282470703,1.8723805624176748e-05,0.5174204111099243,0.5578135251998901,0.0697266906499862,0.5954999923706055,0.0,0.3842395842075348,0.7684791684150696,0.8047381043434143,0.5849055051803589,0.5894632339477539,0.5995955467224121,1.6945605239016004e-05,0.6304367780685425,0.4204817414283752,0.0525602176785469,head,1
1,0.5946666598320007,2.518850326538086,0.3792030811309814,0.7584061622619629,0.0003000000142492,0.7728115916252136,0.6342803239822388,0.5892801284790039,0.624833345413208,1.54043755173916e-05,0.639676034450531,0.3935933709144592,0.0491991713643074,0.6554999947547913,0.0,0.3300645053386688,0.6601290106773376,0.6524980664253235,0.6956016421318054,0.6674107313156128,0.604651153087616,1.3946074432169551e-05,0.7164266705513,0.32241952419281,0.0403024405241012,head,2
2,0.6284999847412109,2.3338441848754883,0.349252313375473,0.698504626750946,0.0003000000142492,0.7006306052207947,0.6801310777664185,0.6206950545310974,0.6608333587646484,1.278499166801339e-05,0.679585874080658,0.351365178823471,0.0439206473529338,0.6924999952316284,0.0,0.3054101169109344,0.6108202338218689,0.5752326250076294,0.7538669109344482,0.7059471607208252,0.648129403591156,1.17932841021684e-05,0.7556204795837402,0.2698106467723846,0.033726330846548,head,3
3,0.6386666893959045,2.28314208984375,0.3353602588176727,0.6707205176353455,0.0003000000142492,0.6629334092140198,0.7034667730331421,0.6309823393821716,0.6679999828338623,1.0851882507267874e-05,0.7005629539489746,0.3275626301765442,0.040945328772068,0.7039999961853027,0.0,0.2945378720760345,0.5890757441520691,0.541480302810669,0.7829182744026184,0.7388688325881958,0.6208291053771973,1.0046705028798897e-05,0.7763988971710205,0.2469323426485061,0.0308665428310632,head,4
4,0.6481666564941406,2.158320903778076,0.326071947813034,0.6521438956260681,0.0003000000142492,0.635137677192688,0.7170761823654175,0.6421945095062256,0.6691666841506958,9.3660710263066e-06,0.7117374539375305,0.3090564012527466,0.0386320501565933,0.7114999890327454,0.0,0.2872252464294433,0.5744504928588867,0.516890823841095,0.7996348142623901,0.7562189102172852,0.6147623658180237,8.740111297811382e-06,0.7893660068511963,0.229656770825386,0.0287070963531732,head,5
5,0.6602500081062317,2.203598976135254,0.315928041934967,0.6318560838699341,0.0003000000142492,0.6130499243736267,0.7351277470588684,0.6548060178756714,0.6778333187103271,8.295547559100669e-06,0.7246503829956055,0.2971137762069702,0.0371392220258712,0.7204999923706055,0.0,0.2803526520729065,0.560705304145813,0.4895859956741333,0.807436466217041,0.7517564296722412,0.6491405367851257,7.98662040324416e-06,0.7971510291099548,0.2092253714799881,0.0261531714349985,head,6
6,0.6574166417121887,2.070518493652344,0.3146661520004272,0.6293323040008545,0.0003000000142492,0.6056472063064575,0.7369387149810791,0.6545573472976685,0.6666666865348816,7.517619906138861e-06,0.7268988490104675,0.2909739017486572,0.0363717377185821,0.7210000157356262,0.0,0.2774508595466614,0.5549017190933228,0.4798178970813751,0.8132458329200745,0.756242573261261,0.6430737972259521,7.194494628492976e-06,0.8019465208053589,0.2023598998785019,0.0252949874848127,head,7
7,0.6653333306312561,2.039677619934082,0.3140402138233185,0.628080427646637,0.0003000000142492,0.6016732454299927,0.736179769039154,0.6653333306312561,0.6653333306312561,6.856463187432382e-06,0.7283955216407776,0.2876263558864593,0.0359532944858074,0.7279999852180481,0.0,0.27846759557724,0.55693519115448,0.483952909708023,0.816118597984314,0.7900912761688232,0.612740159034729,6.532462975883391e-06,0.803902268409729,0.2054787129163742,0.0256848391145467,head,8
0,0.6777499914169312,11.09597396850586,0.3072482645511627,0.6144965291023254,2.9999999242136255e-05,0.5819478034973145,0.7501128315925598,0.680426299571991,0.6703333258628845,6.500468316517072e-06,0.7431545853614807,0.2746930420398712,0.0343366302549839,0.722000002861023,0.0,0.2833811938762665,0.566762387752533,0.487263411283493,0.8217284679412842,0.8197932243347168,0.5611729025840759,6.475454483734211e-06,0.8177399039268494,0.203875720500946,0.0254844650626182,fine-tune,9
1,0.6865833401679993,10.327488899230955,0.2989992201328277,0.5979984402656555,2.9999999242136255e-05,0.5570244789123535,0.7688793540000916,0.6950008869171143,0.6650000214576721,6.456727078330005e-06,0.7571990489959717,0.2580189406871795,0.0322523675858974,0.734499990940094,0.0,0.2644782066345215,0.528956413269043,0.4332529008388519,0.8303782939910889,0.7675233483314514,0.6643073558807373,6.441956429625861e-06,0.825739860534668,0.1687682420015335,0.0210960302501916,fine-tune,10
2,0.6946666836738586,9.812333106994627,0.2940593957901001,0.5881187915802002,2.9999999242136255e-05,0.5443990230560303,0.7776976823806763,0.7046968340873718,0.6701666712760925,6.431076144508552e-06,0.7668363451957703,0.2503329217433929,0.0312916152179241,0.7425000071525574,0.0,0.2660937905311584,0.5321875810623169,0.4332790970802307,0.8267070055007935,0.7699316740036011,0.6835187077522278,6.4219934756692965e-06,0.8216603994369507,0.1671788543462753,0.0208973567932844,fine-tune,11
3,0.6968333125114441,9.640484809875488,0.2950042188167572,0.5900084376335144,2.9999999242136255e-05,0.5445234775543213,0.7750885486602783,0.7062521576881409,0.6740000247955322,6.4118676164071076e-06,0.7664961218833923,0.2495129555463791,0.0311891194432973,0.7409999966621399,0.0,0.2688137888908386,0.5376275777816772,0.4457311034202575,0.8293222784996033,0.8030887842178345,0.630940318107605,6.4029318309621885e-06,0.8220409750938416,0.1769109219312667,0.0221138652414083,fine-tune,12
4,0.7066666483879089,9.83325481414795,0.290684700012207,0.5813694000244141,2.9999999242136255e-05,0.5276111364364624,0.7856506109237671,0.7188493013381958,0.6788333058357239,6.3895745370246e-06,0.7765500545501709,0.2369198203086853,0.0296149775385856,0.7434999942779541,0.0,0.2626000344753265,0.5252000689506531,0.4248275756835937,0.8313987851142883,0.7813238501548767,0.6683518886566162,6.378693342412589e-06,0.8282122611999512,0.162221223115921,0.0202776528894901,fine-tune,13
5,0.706166684627533,9.5737886428833,0.2885628342628479,0.5771256685256958,2.9999999242136255e-05,0.5246437788009644,0.7872160077095032,0.7187057733535767,0.6775000095367432,6.367798960127402e-06,0.7795760631561279,0.2360744625329971,0.0295093078166246,0.7480000257492065,0.0,0.2622471749782562,0.5244943499565125,0.4240475296974182,0.8357778787612915,0.7960928082466125,0.6592517495155334,6.36326831227052e-06,0.8319377303123474,0.1617939174175262,0.0202242396771907,fine-tune,14
6,0.706250011920929,9.345223426818848,0.2876858413219452,0.5753716826438904,2.9999999242136255e-05,0.5188115835189819,0.7918648719787598,0.7208638191223145,0.6731666922569275,6.355121513479389e-06,0.7811581492424011,0.2311194241046905,0.0288899280130863,0.7515000104904175,0.0,0.2588885724544525,0.517777144908905,0.41309654712677,0.8396247029304504,0.7685589790344238,0.7118301391601562,6.348323040583637e-06,0.8347104787826538,0.1542015522718429,0.0192751940339803,fine-tune,15
7,0.7070000171661377,9.43645477294922,0.2875734567642212,0.5751469135284424,2.9999999242136255e-05,0.5179924368858337,0.7906628251075745,0.7201346755027771,0.6771666407585144,6.335525995382341e-06,0.781890869140625,0.2304127216339111,0.0288015902042388,0.7540000081062317,0.0,0.2599077820777893,0.5198155641555786,0.4187527894973755,0.8360394239425659,0.77703458070755,0.7047522664070129,6.324523383227643e-06,0.8313356041908264,0.1588387787342071,0.0198548473417758,fine-tune,16
