layer_index,layer_name,layer_type,stage,input_shape,output_shape,output_height,output_width,output_channels,parameters,trainable_parameters,non_trainable_parameters,weight_bytes,weight_sparsity,near_zero_fraction,kernel_sparsity,output_elements_batch1,output_float32_bytes_batch1,output_int8_bytes_batch1_hypothetical,estimated_macs_batch1,parameters_share,estimated_macs_batch1_share,output_float32_bytes_batch1_share
0,image,InputLayer,input,—,"(None, 80, 80, 3)",80.0,80.0,3,0,0,0,0,,,,19200,76800,19200,0,0.0,0.0,0.03729016996160278
1,normalize,Rescaling,preprocess,"(None, 80, 80, 3)","(None, 80, 80, 3)",80.0,80.0,3,0,0,0,0,,,,19200,76800,19200,0,0.0,0.0,0.03729016996160278
2,augment_flip,RandomFlip,preprocess,"(None, 80, 80, 3)","(None, 80, 80, 3)",80.0,80.0,3,0,0,0,0,,,,19200,76800,19200,0,0.0,0.0,0.03729016996160278
3,augment_shift,RandomTranslation,preprocess,"(None, 80, 80, 3)","(None, 80, 80, 3)",80.0,80.0,3,0,0,0,0,,,,19200,76800,19200,0,0.0,0.0,0.03729016996160278
4,stem_conv,Conv2D,stem,"(None, 80, 80, 3)","(None, 40, 40, 8)",40.0,40.0,8,216,216,0,864,0.0,0.0,0.0,12800,51200,12800,345600,0.001932142441834462,0.08653984839500634,0.024860113307735184
5,stem_bn,BatchNormalization,stem,"(None, 40, 40, 8)","(None, 40, 40, 8)",40.0,40.0,8,32,16,16,128,0.0,0.0,,12800,51200,12800,0,0.0002862433247162166,0.0,0.024860113307735184
6,stem_relu6,ReLU,stem,"(None, 40, 40, 8)","(None, 40, 40, 8)",40.0,40.0,8,0,0,0,0,,,,12800,51200,12800,0,0.0,0.0,0.024860113307735184
7,block1_dw,DepthwiseConv2D,block1,"(None, 40, 40, 8)","(None, 40, 40, 8)",40.0,40.0,8,72,72,0,288,0.0,0.0,0.0,12800,51200,12800,115200,0.0006440474806114873,0.028846616131668775,0.024860113307735184
8,block1_dw_bn,BatchNormalization,block1,"(None, 40, 40, 8)","(None, 40, 40, 8)",40.0,40.0,8,32,16,16,128,0.0,0.0,,12800,51200,12800,0,0.0002862433247162166,0.0,0.024860113307735184
9,block1_dw_relu6,ReLU,block1,"(None, 40, 40, 8)","(None, 40, 40, 8)",40.0,40.0,8,0,0,0,0,,,,12800,51200,12800,0,0.0,0.0,0.024860113307735184
10,block1_pw,Conv2D,block1,"(None, 40, 40, 8)","(None, 40, 40, 16)",40.0,40.0,16,128,128,0,512,0.0,0.0,0.0,25600,102400,25600,204800,0.0011449732988648663,0.05128287312296671,0.04972022661547037
11,block1_pw_bn,BatchNormalization,block1,"(None, 40, 40, 16)","(None, 40, 40, 16)",40.0,40.0,16,64,32,32,256,0.0,0.0,,25600,102400,25600,0,0.0005724866494324332,0.0,0.04972022661547037
12,block1_pw_relu6,ReLU,block1,"(None, 40, 40, 16)","(None, 40, 40, 16)",40.0,40.0,16,0,0,0,0,,,,25600,102400,25600,0,0.0,0.0,0.04972022661547037
13,block2_dw,DepthwiseConv2D,block2,"(None, 40, 40, 16)","(None, 20, 20, 16)",20.0,20.0,16,144,144,0,576,0.0,0.0,0.0,6400,25600,6400,57600,0.0012880949612229745,0.014423308065834388,0.012430056653867592
14,block2_dw_bn,BatchNormalization,block2,"(None, 20, 20, 16)","(None, 20, 20, 16)",20.0,20.0,16,64,32,32,256,0.0,0.0,,6400,25600,6400,0,0.0005724866494324332,0.0,0.012430056653867592
15,block2_dw_relu6,ReLU,block2,"(None, 20, 20, 16)","(None, 20, 20, 16)",20.0,20.0,16,0,0,0,0,,,,6400,25600,6400,0,0.0,0.0,0.012430056653867592
16,block2_pw,Conv2D,block2,"(None, 20, 20, 16)","(None, 20, 20, 32)",20.0,20.0,32,512,512,0,2048,0.0,0.0,0.0,12800,51200,12800,204800,0.004579893195459465,0.05128287312296671,0.024860113307735184
17,block2_pw_bn,BatchNormalization,block2,"(None, 20, 20, 32)","(None, 20, 20, 32)",20.0,20.0,32,128,64,64,512,0.0,0.0,,12800,51200,12800,0,0.0011449732988648663,0.0,0.024860113307735184
18,block2_pw_relu6,ReLU,block2,"(None, 20, 20, 32)","(None, 20, 20, 32)",20.0,20.0,32,0,0,0,0,,,,12800,51200,12800,0,0.0,0.0,0.024860113307735184
19,block3_dw,DepthwiseConv2D,block3,"(None, 20, 20, 32)","(None, 20, 20, 32)",20.0,20.0,32,288,288,0,1152,0.0,0.0,0.0,12800,51200,12800,115200,0.002576189922445949,0.028846616131668775,0.024860113307735184
20,block3_dw_bn,BatchNormalization,block3,"(None, 20, 20, 32)","(None, 20, 20, 32)",20.0,20.0,32,128,64,64,512,0.0,0.0,,12800,51200,12800,0,0.0011449732988648663,0.0,0.024860113307735184
21,block3_dw_relu6,ReLU,block3,"(None, 20, 20, 32)","(None, 20, 20, 32)",20.0,20.0,32,0,0,0,0,,,,12800,51200,12800,0,0.0,0.0,0.024860113307735184
22,block3_pw,Conv2D,block3,"(None, 20, 20, 32)","(None, 20, 20, 32)",20.0,20.0,32,1024,1024,0,4096,0.0,0.0,0.0,12800,51200,12800,409600,0.00915978639091893,0.10256574624593343,0.024860113307735184
23,block3_pw_bn,BatchNormalization,block3,"(None, 20, 20, 32)","(None, 20, 20, 32)",20.0,20.0,32,128,64,64,512,0.0,0.0,,12800,51200,12800,0,0.0011449732988648663,0.0,0.024860113307735184
24,block3_pw_relu6,ReLU,block3,"(None, 20, 20, 32)","(None, 20, 20, 32)",20.0,20.0,32,0,0,0,0,,,,12800,51200,12800,0,0.0,0.0,0.024860113307735184
25,block4_dw,DepthwiseConv2D,block4,"(None, 20, 20, 32)","(None, 10, 10, 32)",10.0,10.0,32,288,288,0,1152,0.0,0.0,0.0,3200,12800,3200,28800,0.002576189922445949,0.007211654032917194,0.006215028326933796
26,block4_dw_bn,BatchNormalization,block4,"(None, 10, 10, 32)","(None, 10, 10, 32)",10.0,10.0,32,128,64,64,512,0.0,0.0,,3200,12800,3200,0,0.0011449732988648663,0.0,0.006215028326933796
27,block4_dw_relu6,ReLU,block4,"(None, 10, 10, 32)","(None, 10, 10, 32)",10.0,10.0,32,0,0,0,0,,,,3200,12800,3200,0,0.0,0.0,0.006215028326933796
28,block4_pw,Conv2D,block4,"(None, 10, 10, 32)","(None, 10, 10, 64)",10.0,10.0,64,2048,2048,0,8192,0.0,0.0,0.0,6400,25600,6400,204800,0.01831957278183786,0.05128287312296671,0.012430056653867592
29,block4_pw_bn,BatchNormalization,block4,"(None, 10, 10, 64)","(None, 10, 10, 64)",10.0,10.0,64,256,128,128,1024,0.0,0.0,,6400,25600,6400,0,0.0022899465977297326,0.0,0.012430056653867592
30,block4_pw_relu6,ReLU,block4,"(None, 10, 10, 64)","(None, 10, 10, 64)",10.0,10.0,64,0,0,0,0,,,,6400,25600,6400,0,0.0,0.0,0.012430056653867592
31,block5_dw,DepthwiseConv2D,block5,"(None, 10, 10, 64)","(None, 10, 10, 64)",10.0,10.0,64,576,576,0,2304,0.0,0.0,0.0,6400,25600,6400,57600,0.005152379844891898,0.014423308065834388,0.012430056653867592
32,block5_dw_bn,BatchNormalization,block5,"(None, 10, 10, 64)","(None, 10, 10, 64)",10.0,10.0,64,256,128,128,1024,0.0,0.0,,6400,25600,6400,0,0.0022899465977297326,0.0,0.012430056653867592
33,block5_dw_relu6,ReLU,block5,"(None, 10, 10, 64)","(None, 10, 10, 64)",10.0,10.0,64,0,0,0,0,,,,6400,25600,6400,0,0.0,0.0,0.012430056653867592
34,block5_pw,Conv2D,block5,"(None, 10, 10, 64)","(None, 10, 10, 64)",10.0,10.0,64,4096,4096,0,16384,0.0,0.0,0.0,6400,25600,6400,409600,0.03663914556367572,0.10256574624593343,0.012430056653867592
35,block5_pw_bn,BatchNormalization,block5,"(None, 10, 10, 64)","(None, 10, 10, 64)",10.0,10.0,64,256,128,128,1024,0.0,0.0,,6400,25600,6400,0,0.0022899465977297326,0.0,0.012430056653867592
36,block5_pw_relu6,ReLU,block5,"(None, 10, 10, 64)","(None, 10, 10, 64)",10.0,10.0,64,0,0,0,0,,,,6400,25600,6400,0,0.0,0.0,0.012430056653867592
37,block6_dw,DepthwiseConv2D,block6,"(None, 10, 10, 64)","(None, 5, 5, 64)",5.0,5.0,64,576,576,0,2304,0.0,0.0,0.0,1600,6400,1600,14400,0.005152379844891898,0.003605827016458597,0.003107514163466898
