dimension,slice,samples,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,confusion_matrix,positive_prevalence,predicted_positive_rate
person_size,none/tiny,1019,0.5,0.8675171736997056,0.0,0.0,0.0,,0.0,0.8675171736997056,"[[884, 135], [0, 0]]",0.0,0.1324828263002944
person_size,small,132,0.5,0.5909090909090909,1.0,0.5909090909090909,0.7428571428571429,,1.0,0.0,"[[0, 0], [54, 78]]",1.0,0.5909090909090909
person_size,medium,220,0.5,0.7636363636363637,1.0,0.7636363636363637,0.865979381443299,,0.9999999999999999,0.0,"[[0, 0], [52, 168]]",1.0,0.7636363636363637
person_size,large,629,0.5,0.8807631160572337,1.0,0.8807631160572337,0.9366018596787827,,1.0,0.0,"[[0, 0], [75, 554]]",1.0,0.8807631160572337
aspect_band,portrait,443,0.5,0.8555304740406321,0.893719806763285,0.8149779735682819,0.8525345622119815,0.9349200522108012,0.9474523308968242,0.8981481481481481,"[[194, 22], [42, 185]]",0.5124153498871332,0.4672686230248307
aspect_band,near-square,171,0.5,0.8187134502923976,0.7948717948717948,0.8051948051948052,0.8,0.9013539651837524,0.8983527569016836,0.8297872340425532,"[[78, 16], [15, 62]]",0.4502923976608187,0.45614035087719296
aspect_band,landscape,1386,0.5,0.8405483405483406,0.8507692307692307,0.8168389955686853,0.8334589299171062,0.9205571747921324,0.9283959991722045,0.8631875881523272,"[[612, 97], [124, 553]]",0.4884559884559885,0.468975468975469
brightness_band,"(23.052, 96.511]",500,0.5,0.834,0.8678414096916299,0.788,0.8259958071278826,0.918944,0.9320164103393873,0.88,"[[220, 30], [53, 197]]",0.5,0.454
brightness_band,"(96.511, 114.0]",500,0.5,0.836,0.8495934959349594,0.8228346456692913,0.836,0.922412137507202,0.9363501028636696,0.8495934959349594,"[[209, 37], [45, 209]]",0.508,0.492
brightness_band,"(114.0, 132.317]",500,0.5,0.834,0.8598130841121495,0.7763713080168776,0.8159645232815964,0.9141358232661115,0.9208690894305381,0.8859315589353612,"[[233, 30], [53, 184]]",0.474,0.428
brightness_band,"(132.317, 225.917]",500,0.5,0.864,0.8467741935483871,0.875,0.860655737704918,0.9354967948717948,0.934875093982318,0.8538461538461538,"[[222, 38], [30, 210]]",0.48,0.496
