layer_index,layer_name,layer_type,live_tensors,live_elements,live_float32_bytes,live_int8_bytes_hypothetical
1,normalize,Rescaling,2,153600,614400,153600
2,camera_augmentation,Sequential,2,153600,614400,153600
3,conv1,Conv2D,2,179200,716800,179200
4,conv1_bn,BatchNormalization,2,204800,819200,204800
5,conv1_relu,ReLU,2,204800,819200,204800
6,conv_dw_1,DepthwiseConv2D,2,204800,819200,204800
7,conv_dw_1_bn,BatchNormalization,2,204800,819200,204800
8,conv_dw_1_relu,ReLU,2,204800,819200,204800
9,conv_pw_1,Conv2D,2,307200,1228800,307200
10,conv_pw_1_bn,BatchNormalization,2,409600,1638400,409600
11,conv_pw_1_relu,ReLU,2,409600,1638400,409600
12,conv_pad_2,ZeroPadding2D,2,414752,1659008,414752
13,conv_dw_2,DepthwiseConv2D,2,261152,1044608,261152
14,conv_dw_2_bn,BatchNormalization,2,102400,409600,102400
15,conv_dw_2_relu,ReLU,2,102400,409600,102400
16,conv_pw_2,Conv2D,2,153600,614400,153600
17,conv_pw_2_bn,BatchNormalization,2,204800,819200,204800
18,conv_pw_2_relu,ReLU,2,204800,819200,204800
19,conv_dw_3,DepthwiseConv2D,2,204800,819200,204800
20,conv_dw_3_bn,BatchNormalization,2,204800,819200,204800
21,conv_dw_3_relu,ReLU,2,204800,819200,204800
22,conv_pw_3,Conv2D,2,204800,819200,204800
23,conv_pw_3_bn,BatchNormalization,2,204800,819200,204800
24,conv_pw_3_relu,ReLU,2,204800,819200,204800
25,conv_pad_4,ZeroPadding2D,2,209984,839936,209984
26,conv_dw_4,DepthwiseConv2D,2,133184,532736,133184
27,conv_dw_4_bn,BatchNormalization,2,51200,204800,51200
28,conv_dw_4_relu,ReLU,2,51200,204800,51200
29,conv_pw_4,Conv2D,2,76800,307200,76800
30,conv_pw_4_bn,BatchNormalization,2,102400,409600,102400
31,conv_pw_4_relu,ReLU,2,102400,409600,102400
32,conv_dw_5,DepthwiseConv2D,2,102400,409600,102400
33,conv_dw_5_bn,BatchNormalization,2,102400,409600,102400
34,conv_dw_5_relu,ReLU,2,102400,409600,102400
35,conv_pw_5,Conv2D,2,102400,409600,102400
36,conv_pw_5_bn,BatchNormalization,2,102400,409600,102400
37,conv_pw_5_relu,ReLU,2,102400,409600,102400
38,conv_pad_6,ZeroPadding2D,2,107648,430592,107648
39,conv_dw_6,DepthwiseConv2D,2,69248,276992,69248
40,conv_dw_6_bn,BatchNormalization,2,25600,102400,25600
41,conv_dw_6_relu,ReLU,2,25600,102400,25600
42,conv_pw_6,Conv2D,2,38400,153600,38400
43,conv_pw_6_bn,BatchNormalization,2,51200,204800,51200
44,conv_pw_6_relu,ReLU,2,51200,204800,51200
45,conv_dw_7,DepthwiseConv2D,2,51200,204800,51200
46,conv_dw_7_bn,BatchNormalization,2,51200,204800,51200
47,conv_dw_7_relu,ReLU,2,51200,204800,51200
48,conv_pw_7,Conv2D,2,51200,204800,51200
49,conv_pw_7_bn,BatchNormalization,2,51200,204800,51200
50,conv_pw_7_relu,ReLU,2,51200,204800,51200
51,conv_dw_8,DepthwiseConv2D,2,51200,204800,51200
52,conv_dw_8_bn,BatchNormalization,2,51200,204800,51200
53,conv_dw_8_relu,ReLU,2,51200,204800,51200
54,conv_pw_8,Conv2D,2,51200,204800,51200
55,conv_pw_8_bn,BatchNormalization,2,51200,204800,51200
56,conv_pw_8_relu,ReLU,2,51200,204800,51200
57,conv_dw_9,DepthwiseConv2D,2,51200,204800,51200
58,conv_dw_9_bn,BatchNormalization,2,51200,204800,51200
59,conv_dw_9_relu,ReLU,2,51200,204800,51200
60,conv_pw_9,Conv2D,2,51200,204800,51200
61,conv_pw_9_bn,BatchNormalization,2,51200,204800,51200
62,conv_pw_9_relu,ReLU,2,51200,204800,51200
63,conv_dw_10,DepthwiseConv2D,2,51200,204800,51200
64,conv_dw_10_bn,BatchNormalization,2,51200,204800,51200
65,conv_dw_10_relu,ReLU,2,51200,204800,51200
66,conv_pw_10,Conv2D,2,51200,204800,51200
67,conv_pw_10_bn,BatchNormalization,2,51200,204800,51200
68,conv_pw_10_relu,ReLU,2,51200,204800,51200
69,conv_dw_11,DepthwiseConv2D,2,51200,204800,51200
70,conv_dw_11_bn,BatchNormalization,2,51200,204800,51200
71,conv_dw_11_relu,ReLU,2,51200,204800,51200
72,conv_pw_11,Conv2D,2,51200,204800,51200
73,conv_pw_11_bn,BatchNormalization,2,51200,204800,51200
74,conv_pw_11_relu,ReLU,2,51200,204800,51200
75,conv_pad_12,ZeroPadding2D,2,56576,226304,56576
76,conv_dw_12,DepthwiseConv2D,2,37376,149504,37376
77,conv_dw_12_bn,BatchNormalization,2,12800,51200,12800
78,conv_dw_12_relu,ReLU,2,12800,51200,12800
79,conv_pw_12,Conv2D,2,19200,76800,19200
80,conv_pw_12_bn,BatchNormalization,2,25600,102400,25600
81,conv_pw_12_relu,ReLU,2,25600,102400,25600
82,conv_dw_13,DepthwiseConv2D,2,25600,102400,25600
83,conv_dw_13_bn,BatchNormalization,2,25600,102400,25600
84,conv_dw_13_relu,ReLU,2,25600,102400,25600
85,conv_pw_13,Conv2D,2,25600,102400,25600
86,conv_pw_13_bn,BatchNormalization,2,25600,102400,25600
87,conv_pw_13_relu,ReLU,2,25600,102400,25600
88,global_average,GlobalAveragePooling2D,2,13312,53248,13312
89,teacher_dropout,Dropout,2,1024,4096,1024
90,person_probability,Dense,2,513,2052,513
