layer_index,layer_name,layer_type,stage,input_shape,output_shape,output_height,output_width,output_channels,parameters,trainable_parameters,non_trainable_parameters,weight_bytes,weight_sparsity,near_zero_fraction,kernel_sparsity,output_elements_batch1,output_float32_bytes_batch1,output_int8_bytes_batch1_hypothetical,estimated_macs_batch1,parameters_share,estimated_macs_batch1_share,output_float32_bytes_batch1_share
0,image,InputLayer,input,—,"(None, 160, 160, 3)",160.0,160.0,3,0,0,0,0,,,,76800,307200,76800,0,0.0,0.0,0.017083427407111645
1,normalize,Rescaling,preprocess,"(None, 160, 160, 3)","(None, 160, 160, 3)",160.0,160.0,3,0,0,0,0,,,,76800,307200,76800,0,0.0,0.0,0.017083427407111645
2,camera_augmentation,Sequential,head,"(None, 160, 160, 3)","(None, 160, 160, 3)",160.0,160.0,3,0,0,0,0,,,,76800,307200,76800,0,0.0,0.0,0.017083427407111645
3,conv1,Conv2D,head,"(None, 160, 160, 3)","(None, 80, 80, 16)",80.0,80.0,16,432,432,0,1728,0.0,0.3125,0.0,102400,409600,102400,2764800,0.0005204512022784197,0.036372576424508384,0.02277790320948219
4,conv1_bn,BatchNormalization,head,"(None, 80, 80, 16)","(None, 80, 80, 16)",80.0,80.0,16,64,32,32,256,0.0,0.15625,,102400,409600,102400,0,7.710388181902515e-05,0.0,0.02277790320948219
5,conv1_relu,ReLU,head,"(None, 80, 80, 16)","(None, 80, 80, 16)",80.0,80.0,16,0,0,0,0,,,,102400,409600,102400,0,0.0,0.0,0.02277790320948219
6,conv_dw_1,DepthwiseConv2D,head,"(None, 80, 80, 16)","(None, 80, 80, 16)",80.0,80.0,16,144,144,0,576,0.0,0.0,0.0,102400,409600,102400,921600,0.00017348373409280658,0.012124192141502793,0.02277790320948219
7,conv_dw_1_bn,BatchNormalization,head,"(None, 80, 80, 16)","(None, 80, 80, 16)",80.0,80.0,16,64,32,32,256,0.0,0.125,,102400,409600,102400,0,7.710388181902515e-05,0.0,0.02277790320948219
8,conv_dw_1_relu,ReLU,head,"(None, 80, 80, 16)","(None, 80, 80, 16)",80.0,80.0,16,0,0,0,0,,,,102400,409600,102400,0,0.0,0.0,0.02277790320948219
9,conv_pw_1,Conv2D,head,"(None, 80, 80, 16)","(None, 80, 80, 32)",80.0,80.0,32,512,512,0,2048,0.0,0.29296875,0.0,204800,819200,204800,3276800,0.0006168310545522012,0.043108238725343265,0.04555580641896438
10,conv_pw_1_bn,BatchNormalization,head,"(None, 80, 80, 32)","(None, 80, 80, 32)",80.0,80.0,32,128,64,64,512,0.0,0.015625,,204800,819200,204800,0,0.0001542077636380503,0.0,0.04555580641896438
11,conv_pw_1_relu,ReLU,head,"(None, 80, 80, 32)","(None, 80, 80, 32)",80.0,80.0,32,0,0,0,0,,,,204800,819200,204800,0,0.0,0.0,0.04555580641896438
12,conv_pad_2,ZeroPadding2D,head,"(None, 80, 80, 32)","(None, 81, 81, 32)",81.0,81.0,32,0,0,0,0,,,,209952,839808,209952,0,0.0,0.0,0.04670181967419146
13,conv_dw_2,DepthwiseConv2D,head,"(None, 81, 81, 32)","(None, 40, 40, 32)",40.0,40.0,32,288,288,0,1152,0.0,0.0,0.0,51200,204800,51200,460800,0.00034696746818561316,0.006062096070751396,0.011388951604741095
14,conv_dw_2_bn,BatchNormalization,head,"(None, 40, 40, 32)","(None, 40, 40, 32)",40.0,40.0,32,128,64,64,512,0.0,0.015625,,51200,204800,51200,0,0.0001542077636380503,0.0,0.011388951604741095
15,conv_dw_2_relu,ReLU,head,"(None, 40, 40, 32)","(None, 40, 40, 32)",40.0,40.0,32,0,0,0,0,,,,51200,204800,51200,0,0.0,0.0,0.011388951604741095
16,conv_pw_2,Conv2D,head,"(None, 40, 40, 32)","(None, 40, 40, 64)",40.0,40.0,64,2048,2048,0,8192,0.0,0.091796875,0.0,102400,409600,102400,3276800,0.0024673242182088047,0.043108238725343265,0.02277790320948219
17,conv_pw_2_bn,BatchNormalization,head,"(None, 40, 40, 64)","(None, 40, 40, 64)",40.0,40.0,64,256,128,128,1024,0.0,0.03125,,102400,409600,102400,0,0.0003084155272761006,0.0,0.02277790320948219
18,conv_pw_2_relu,ReLU,head,"(None, 40, 40, 64)","(None, 40, 40, 64)",40.0,40.0,64,0,0,0,0,,,,102400,409600,102400,0,0.0,0.0,0.02277790320948219
19,conv_dw_3,DepthwiseConv2D,head,"(None, 40, 40, 64)","(None, 40, 40, 64)",40.0,40.0,64,576,576,0,2304,0.0,0.0,0.0,102400,409600,102400,921600,0.0006939349363712263,0.012124192141502793,0.02277790320948219
20,conv_dw_3_bn,BatchNormalization,head,"(None, 40, 40, 64)","(None, 40, 40, 64)",40.0,40.0,64,256,128,128,1024,0.0,0.015625,,102400,409600,102400,0,0.0003084155272761006,0.0,0.02277790320948219
21,conv_dw_3_relu,ReLU,head,"(None, 40, 40, 64)","(None, 40, 40, 64)",40.0,40.0,64,0,0,0,0,,,,102400,409600,102400,0,0.0,0.0,0.02277790320948219
22,conv_pw_3,Conv2D,head,"(None, 40, 40, 64)","(None, 40, 40, 64)",40.0,40.0,64,4096,4096,0,16384,0.0,0.0625,0.0,102400,409600,102400,6553600,0.004934648436417609,0.08621647745068653,0.02277790320948219
23,conv_pw_3_bn,BatchNormalization,head,"(None, 40, 40, 64)","(None, 40, 40, 64)",40.0,40.0,64,256,128,128,1024,0.0,0.0,,102400,409600,102400,0,0.0003084155272761006,0.0,0.02277790320948219
24,conv_pw_3_relu,ReLU,head,"(None, 40, 40, 64)","(None, 40, 40, 64)",40.0,40.0,64,0,0,0,0,,,,102400,409600,102400,0,0.0,0.0,0.02277790320948219
25,conv_pad_4,ZeroPadding2D,head,"(None, 40, 40, 64)","(None, 41, 41, 64)",41.0,41.0,64,0,0,0,0,,,,107584,430336,107584,0,0.0,0.0,0.023931034559462227
26,conv_dw_4,DepthwiseConv2D,head,"(None, 41, 41, 64)","(None, 20, 20, 64)",20.0,20.0,64,576,576,0,2304,0.0,0.0,0.0,25600,102400,25600,230400,0.0006939349363712263,0.003031048035375698,0.005694475802370548
27,conv_dw_4_bn,BatchNormalization,head,"(None, 20, 20, 64)","(None, 20, 20, 64)",20.0,20.0,64,256,128,128,1024,0.0,0.0,,25600,102400,25600,0,0.0003084155272761006,0.0,0.005694475802370548
28,conv_dw_4_relu,ReLU,head,"(None, 20, 20, 64)","(None, 20, 20, 64)",20.0,20.0,64,0,0,0,0,,,,25600,102400,25600,0,0.0,0.0,0.005694475802370548
29,conv_pw_4,Conv2D,head,"(None, 20, 20, 64)","(None, 20, 20, 128)",20.0,20.0,128,8192,8192,0,32768,0.0,0.0,0.0,51200,204800,51200,3276800,0.009869296872835219,0.043108238725343265,0.011388951604741095
30,conv_pw_4_bn,BatchNormalization,head,"(None, 20, 20, 128)","(None, 20, 20, 128)",20.0,20.0,128,512,256,256,2048,0.0,0.0,,51200,204800,51200,0,0.0006168310545522012,0.0,0.011388951604741095
31,conv_pw_4_relu,ReLU,head,"(None, 20, 20, 128)","(None, 20, 20, 128)",20.0,20.0,128,0,0,0,0,,,,51200,204800,51200,0,0.0,0.0,0.011388951604741095
32,conv_dw_5,DepthwiseConv2D,head,"(None, 20, 20, 128)","(None, 20, 20, 128)",20.0,20.0,128,1152,1152,0,4608,0.0,0.0,0.0,51200,204800,51200,460800,0.0013878698727424527,0.006062096070751396,0.011388951604741095
33,conv_dw_5_bn,BatchNormalization,head,"(None, 20, 20, 128)","(None, 20, 20, 128)",20.0,20.0,128,512,256,256,2048,0.0,0.0,,51200,204800,51200,0,0.0006168310545522012,0.0,0.011388951604741095
34,conv_dw_5_relu,ReLU,head,"(None, 20, 20, 128)","(None, 20, 20, 128)",20.0,20.0,128,0,0,0,0,,,,51200,204800,51200,0,0.0,0.0,0.011388951604741095
35,conv_pw_5,Conv2D,head,"(None, 20, 20, 128)","(None, 20, 20, 128)",20.0,20.0,128,16384,16384,0,65536,0.0,0.0,0.0,51200,204800,51200,6553600,0.019738593745670437,0.08621647745068653,0.011388951604741095
36,conv_pw_5_bn,BatchNormalization,head,"(None, 20, 20, 128)","(None, 20, 20, 128)",20.0,20.0,128,512,256,256,2048,0.0,0.0,,51200,204800,51200,0,0.0006168310545522012,0.0,0.011388951604741095
37,conv_pw_5_relu,ReLU,head,"(None, 20, 20, 128)","(None, 20, 20, 128)",20.0,20.0,128,0,0,0,0,,,,51200,204800,51200,0,0.0,0.0,0.011388951604741095
38,conv_pad_6,ZeroPadding2D,head,"(None, 20, 20, 128)","(None, 21, 21, 128)",21.0,21.0,128,0,0,0,0,,,,56448,225792,56448,0,0.0,0.0,0.012556319144227059
39,conv_dw_6,DepthwiseConv2D,head,"(None, 21, 21, 128)","(None, 10, 10, 128)",10.0,10.0,128,1152,1152,0,4608,0.0,0.0,0.0,12800,51200,12800,115200,0.0013878698727424527,0.001515524017687849,0.002847237901185274
40,conv_dw_6_bn,BatchNormalization,head,"(None, 10, 10, 128)","(None, 10, 10, 128)",10.0,10.0,128,512,256,256,2048,0.0,0.0,,12800,51200,12800,0,0.0006168310545522012,0.0,0.002847237901185274
41,conv_dw_6_relu,ReLU,head,"(None, 10, 10, 128)","(None, 10, 10, 128)",10.0,10.0,128,0,0,0,0,,,,12800,51200,12800,0,0.0,0.0,0.002847237901185274
42,conv_pw_6,Conv2D,head,"(None, 10, 10, 128)","(None, 10, 10, 256)",10.0,10.0,256,32768,32768,0,131072,0.0,0.0,0.0,25600,102400,25600,3276800,0.039477187491340875,0.043108238725343265,0.005694475802370548
43,conv_pw_6_bn,BatchNormalization,head,"(None, 10, 10, 256)","(None, 10, 10, 256)",10.0,10.0,256,1024,512,512,4096,0.0,0.0,,25600,102400,25600,0,0.0012336621091044023,0.0,0.005694475802370548
44,conv_pw_6_relu,ReLU,head,"(None, 10, 10, 256)","(None, 10, 10, 256)",10.0,10.0,256,0,0,0,0,,,,25600,102400,25600,0,0.0,0.0,0.005694475802370548
45,conv_dw_7,DepthwiseConv2D,head,"(None, 10, 10, 256)","(None, 10, 10, 256)",10.0,10.0,256,2304,2304,0,9216,0.0,0.0,0.0,25600,102400,25600,230400,0.0027757397454849053,0.003031048035375698,0.005694475802370548
46,conv_dw_7_bn,BatchNormalization,head,"(None, 10, 10, 256)","(None, 10, 10, 256)",10.0,10.0,256,1024,512,512,4096,0.0,0.0,,25600,102400,25600,0,0.0012336621091044023,0.0,0.005694475802370548
47,conv_dw_7_relu,ReLU,head,"(None, 10, 10, 256)","(None, 10, 10, 256)",10.0,10.0,256,0,0,0,0,,,,25600,102400,25600,0,0.0,0.0,0.005694475802370548
48,conv_pw_7,Conv2D,head,"(None, 10, 10, 256)","(None, 10, 10, 256)",10.0,10.0,256,65536,65536,0,262144,0.0,1.52587890625e-05,0.0,25600,102400,25600,6553600,0.07895437498268175,0.08621647745068653,0.005694475802370548
49,conv_pw_7_bn,BatchNormalization,head,"(None, 10, 10, 256)","(None, 10, 10, 256)",10.0,10.0,256,1024,512,512,4096,0.0,0.0,,25600,102400,25600,0,0.0012336621091044023,0.0,0.005694475802370548
50,conv_pw_7_relu,ReLU,head,"(None, 10, 10, 256)","(None, 10, 10, 256)",10.0,10.0,256,0,0,0,0,,,,25600,102400,25600,0,0.0,0.0,0.005694475802370548
51,conv_dw_8,DepthwiseConv2D,head,"(None, 10, 10, 256)","(None, 10, 10, 256)",10.0,10.0,256,2304,2304,0,9216,0.0,0.0,0.0,25600,102400,25600,230400,0.0027757397454849053,0.003031048035375698,0.005694475802370548
