image_id,split,label,image_path,teacher_probability,teacher_logit
25,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000025.jpg,0.037826188,-3.2361934
49,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000049.jpg,0.91185194,2.3364596
61,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000061.jpg,0.062157836,-2.7139049
71,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000071.jpg,0.21303697,-1.3067155
77,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000077.jpg,0.81907165,1.5100706
94,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000094.jpg,0.4884601,-0.046167854
133,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000133.jpg,0.13283974,-1.8760804
136,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000136.jpg,0.119191155,-2.000112
138,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000138.jpg,0.19349897,-1.427433
151,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000151.jpg,0.46622783,-0.13529466
192,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000192.jpg,0.98293316,4.053404
196,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000196.jpg,0.18276785,-1.4977064
260,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000260.jpg,0.5868454,0.35093954
263,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000263.jpg,0.20367846,-1.3634605
307,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000307.jpg,0.102000676,-2.17519
322,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000322.jpg,0.5407564,0.16338809
357,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000357.jpg,0.6240421,0.5067407
360,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000360.jpg,0.4767935,-0.09289268
370,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000370.jpg,0.95078975,2.961191
382,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000382.jpg,0.93181676,2.6149373
404,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000404.jpg,0.3518829,-0.6107729
415,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000415.jpg,0.93329453,2.638434
419,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000419.jpg,0.8147704,1.4813101
436,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000436.jpg,0.9937319,5.0659966
438,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000438.jpg,0.1534682,-1.7076544
488,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000488.jpg,0.9565847,3.0925572
490,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000490.jpg,0.577857,0.31398237
502,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000502.jpg,0.0524625,-2.8937678
520,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000520.jpg,0.28098696,-0.9395712
531,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000531.jpg,0.4717159,-0.11325727
532,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000532.jpg,0.4793447,-0.08266821
542,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000542.jpg,0.7102452,0.89657515
544,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000544.jpg,0.9560837,3.0805602
562,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000562.jpg,0.36618683,-0.54861045
581,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000581.jpg,0.3141603,-0.7807406
589,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000589.jpg,0.9305513,2.5951886
590,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000590.jpg,0.16629103,-1.612145
629,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000629.jpg,0.2569888,-1.0616788
661,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000661.jpg,0.12574382,-1.9391267
690,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000690.jpg,0.36103442,-0.5708773
715,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000715.jpg,0.26968548,-0.9962189
722,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000722.jpg,0.95153075,2.9771426
730,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000730.jpg,0.44381487,-0.22569369
754,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000754.jpg,0.06690193,-2.6352825
761,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000761.jpg,0.99589837,5.49226
772,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000772.jpg,0.013535813,-4.288788
825,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000825.jpg,0.108667344,-2.1044264
901,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000901.jpg,0.590682,0.36678556
902,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000902.jpg,0.37887225,-0.49433762
908,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000908.jpg,0.13283291,-1.8761396
909,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000909.jpg,0.47413647,-0.10354657
913,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000913.jpg,0.7762289,1.2438239
985,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000985.jpg,0.5953502,0.3861278
987,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000987.jpg,0.34528327,-0.63983756
996,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000996.jpg,0.2697136,-0.99607605
999,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000000999.jpg,0.749887,1.0980096
1011,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001011.jpg,0.9684118,3.422874
1036,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001036.jpg,0.12479062,-1.9478259
1053,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001053.jpg,0.88379985,2.0289166
1090,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001090.jpg,0.32834816,-0.7156656
1102,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001102.jpg,0.909481,2.3073142
1103,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001103.jpg,0.63042545,0.5340424
1107,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001107.jpg,0.96091765,3.2022178
1144,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001144.jpg,0.7803738,1.2678461
1145,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001145.jpg,0.8543642,1.7692487
1171,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001171.jpg,0.13403185,-1.8657707
1176,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001176.jpg,0.8446643,1.6933506
1180,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001180.jpg,0.9528594,3.0063329
1232,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001232.jpg,0.2331485,-1.1906176
1238,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001238.jpg,0.0789258,-2.4570324
1244,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001244.jpg,0.80781925,1.435902
1270,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001270.jpg,0.99517995,5.3301396
1271,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001271.jpg,0.9077646,2.2866411
1292,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001292.jpg,0.9487621,2.918679
1295,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001295.jpg,0.51331776,0.05328362
1307,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001307.jpg,0.5969097,0.39260527
1311,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001311.jpg,0.5946951,0.38340914
1330,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001330.jpg,0.93226796,2.622061
1366,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001366.jpg,0.17803611,-1.52971
1369,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001369.jpg,0.90392864,2.2416592
1381,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001381.jpg,0.5132406,0.05297468
1386,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001386.jpg,0.3050247,-0.8234834
1393,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001393.jpg,0.4155727,-0.34097484
1451,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001451.jpg,0.18602791,-1.4760294
1453,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001453.jpg,0.55902034,0.23718709
1464,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001464.jpg,0.88434255,2.0342116
1523,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001523.jpg,0.7152846,0.9211903
1526,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001526.jpg,0.072493516,-2.5490026
1527,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001527.jpg,0.99165714,4.7779713
1558,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001558.jpg,0.21911453,-1.2708338
1573,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001573.jpg,0.17827268,-1.5280943
1591,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001591.jpg,0.3026429,-0.8347439
1599,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001599.jpg,0.72912407,0.99018306
1622,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001622.jpg,0.13403647,-1.8657309
1655,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001655.jpg,0.74706507,1.08302
1670,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001670.jpg,0.96917856,3.4482381
1674,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001674.jpg,0.22297138,-1.2484337
1682,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001682.jpg,0.5218703,0.0875371
1706,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001706.jpg,0.8830228,2.0213718
1722,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001722.jpg,0.7321918,1.0057715
1737,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001737.jpg,0.24253055,-1.1388555
1739,train,0,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001739.jpg,0.15291874,-1.71189
1756,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001756.jpg,0.95901597,3.1527252
1757,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001757.jpg,0.9527252,3.0033486
1764,train,1,/Volumes/VM_SSD/Machine Learning/visual-wake-word-esp32/data/raw/coco2017/images/train2017/000000001764.jpg,0.670378,0.7098954
