layer_index,layer_name,layer_type,live_tensors,live_elements,live_float32_bytes,live_int8_bytes_hypothetical
1,normalize,Rescaling,2,38400,153600,38400
2,augment_flip,RandomFlip,2,38400,153600,38400
3,augment_shift,RandomTranslation,2,38400,153600,38400
4,stem_conv,Conv2D,2,32000,128000,32000
5,stem_bn,BatchNormalization,2,25600,102400,25600
6,stem_relu6,ReLU,2,25600,102400,25600
7,block1_dw,DepthwiseConv2D,2,25600,102400,25600
8,block1_dw_bn,BatchNormalization,2,25600,102400,25600
9,block1_dw_relu6,ReLU,2,25600,102400,25600
10,block1_pw,Conv2D,2,38400,153600,38400
11,block1_pw_bn,BatchNormalization,2,51200,204800,51200
12,block1_pw_relu6,ReLU,2,51200,204800,51200
13,block2_dw,DepthwiseConv2D,2,32000,128000,32000
14,block2_dw_bn,BatchNormalization,2,12800,51200,12800
15,block2_dw_relu6,ReLU,2,12800,51200,12800
16,block2_pw,Conv2D,2,19200,76800,19200
17,block2_pw_bn,BatchNormalization,2,25600,102400,25600
18,block2_pw_relu6,ReLU,2,25600,102400,25600
19,block3_dw,DepthwiseConv2D,2,25600,102400,25600
20,block3_dw_bn,BatchNormalization,2,25600,102400,25600
21,block3_dw_relu6,ReLU,2,25600,102400,25600
22,block3_pw,Conv2D,2,25600,102400,25600
23,block3_pw_bn,BatchNormalization,2,25600,102400,25600
24,block3_pw_relu6,ReLU,2,25600,102400,25600
25,block4_dw,DepthwiseConv2D,2,16000,64000,16000
26,block4_dw_bn,BatchNormalization,2,6400,25600,6400
27,block4_dw_relu6,ReLU,2,6400,25600,6400
28,block4_pw,Conv2D,2,9600,38400,9600
29,block4_pw_bn,BatchNormalization,2,12800,51200,12800
30,block4_pw_relu6,ReLU,2,12800,51200,12800
31,block5_dw,DepthwiseConv2D,2,12800,51200,12800
32,block5_dw_bn,BatchNormalization,2,12800,51200,12800
33,block5_dw_relu6,ReLU,2,12800,51200,12800
34,block5_pw,Conv2D,2,12800,51200,12800
35,block5_pw_bn,BatchNormalization,2,12800,51200,12800
36,block5_pw_relu6,ReLU,2,12800,51200,12800
37,block6_dw,DepthwiseConv2D,2,8000,32000,8000
38,block6_dw_bn,BatchNormalization,2,3200,12800,3200
39,block6_dw_relu6,ReLU,2,3200,12800,3200
40,block6_pw,Conv2D,2,4800,19200,4800
41,block6_pw_bn,BatchNormalization,2,6400,25600,6400
42,block6_pw_relu6,ReLU,2,6400,25600,6400
43,block7_dw,DepthwiseConv2D,2,6400,25600,6400
44,block7_dw_bn,BatchNormalization,2,6400,25600,6400
45,block7_dw_relu6,ReLU,2,6400,25600,6400
46,block7_pw,Conv2D,2,6400,25600,6400
47,block7_pw_bn,BatchNormalization,2,6400,25600,6400
48,block7_pw_relu6,ReLU,2,6400,25600,6400
49,block8_dw,DepthwiseConv2D,2,6400,25600,6400
50,block8_dw_bn,BatchNormalization,2,6400,25600,6400
51,block8_dw_relu6,ReLU,2,6400,25600,6400
52,block8_pw,Conv2D,2,6400,25600,6400
53,block8_pw_bn,BatchNormalization,2,6400,25600,6400
54,block8_pw_relu6,ReLU,2,6400,25600,6400
55,block9_dw,DepthwiseConv2D,2,6400,25600,6400
56,block9_dw_bn,BatchNormalization,2,6400,25600,6400
57,block9_dw_relu6,ReLU,2,6400,25600,6400
58,block9_pw,Conv2D,2,6400,25600,6400
59,block9_pw_bn,BatchNormalization,2,6400,25600,6400
60,block9_pw_relu6,ReLU,2,6400,25600,6400
61,block10_dw,DepthwiseConv2D,2,4352,17408,4352
62,block10_dw_bn,BatchNormalization,2,2304,9216,2304
63,block10_dw_relu6,ReLU,2,2304,9216,2304
64,block10_pw,Conv2D,2,3456,13824,3456
65,block10_pw_bn,BatchNormalization,2,4608,18432,4608
66,block10_pw_relu6,ReLU,2,4608,18432,4608
67,global_average,GlobalAveragePooling2D,2,2560,10240,2560
68,dropout,Dropout,2,512,2048,512
69,person_probability,Dense,2,257,1028,257
