group_id,producer,channels,dependency_order,dependent_object
0,stem_conv,8,0,stem_bn
0,stem_conv,8,1,block1_dw
0,stem_conv,8,2,block1_dw_bn
0,stem_conv,8,3,block1_pw:input
1,block1_pw,16,0,block1_pw_bn
1,block1_pw,16,1,block2_dw
1,block1_pw,16,2,block2_dw_bn
1,block1_pw,16,3,block2_pw:input
2,block2_pw,32,0,block2_pw_bn
2,block2_pw,32,1,block3_dw
2,block2_pw,32,2,block3_dw_bn
2,block2_pw,32,3,block3_pw:input
3,block3_pw,32,0,block3_pw_bn
3,block3_pw,32,1,block4_dw
3,block3_pw,32,2,block4_dw_bn
3,block3_pw,32,3,block4_pw:input
4,block4_pw,64,0,block4_pw_bn
4,block4_pw,64,1,block5_dw
4,block4_pw,64,2,block5_dw_bn
4,block4_pw,64,3,block5_pw:input
5,block5_pw,64,0,block5_pw_bn
5,block5_pw,64,1,block6_dw
5,block5_pw,64,2,block6_dw_bn
5,block5_pw,64,3,block6_pw:input
6,block6_pw,128,0,block6_pw_bn
6,block6_pw,128,1,block7_dw
6,block6_pw,128,2,block7_dw_bn
6,block6_pw,128,3,block7_pw:input
7,block7_pw,128,0,block7_pw_bn
7,block7_pw,128,1,block8_dw
7,block7_pw,128,2,block8_dw_bn
7,block7_pw,128,3,block8_pw:input
8,block8_pw,128,0,block8_pw_bn
8,block8_pw,128,1,block9_dw
8,block8_pw,128,2,block9_dw_bn
8,block8_pw,128,3,block9_pw:input
9,block9_pw,128,0,block9_pw_bn
9,block9_pw,128,1,block10_dw
9,block9_pw,128,2,block10_dw_bn
9,block9_pw,128,3,block10_pw:input
10,block10_pw,256,0,block10_pw_bn
10,block10_pw,256,1,global_average
10,block10_pw,256,2,person_probability:input
