layer,role,kernel_shape,kh,kw,input_channels,output_channels,scalar_units,kernel_connection_units,output_channel_units,dense_kernel_bytes_float32,independent_output_pruning
stem_conv,stem,3×3×3×8,3,3,3,8,216,24,8,864,True
block1_dw,depthwise,3×3×8×1,3,3,8,8,72,8,8,288,False
block1_pw,pointwise,1×1×8×16,1,1,8,16,128,128,16,512,True
block2_dw,depthwise,3×3×16×1,3,3,16,16,144,16,16,576,False
block2_pw,pointwise,1×1×16×32,1,1,16,32,512,512,32,2048,True
block3_dw,depthwise,3×3×32×1,3,3,32,32,288,32,32,1152,False
block3_pw,pointwise,1×1×32×32,1,1,32,32,1024,1024,32,4096,True
block4_dw,depthwise,3×3×32×1,3,3,32,32,288,32,32,1152,False
block4_pw,pointwise,1×1×32×64,1,1,32,64,2048,2048,64,8192,True
block5_dw,depthwise,3×3×64×1,3,3,64,64,576,64,64,2304,False
block5_pw,pointwise,1×1×64×64,1,1,64,64,4096,4096,64,16384,True
block6_dw,depthwise,3×3×64×1,3,3,64,64,576,64,64,2304,False
block6_pw,pointwise,1×1×64×128,1,1,64,128,8192,8192,128,32768,True
block7_dw,depthwise,3×3×128×1,3,3,128,128,1152,128,128,4608,False
block7_pw,pointwise,1×1×128×128,1,1,128,128,16384,16384,128,65536,True
block8_dw,depthwise,3×3×128×1,3,3,128,128,1152,128,128,4608,False
block8_pw,pointwise,1×1×128×128,1,1,128,128,16384,16384,128,65536,True
block9_dw,depthwise,3×3×128×1,3,3,128,128,1152,128,128,4608,False
block9_pw,pointwise,1×1×128×128,1,1,128,128,16384,16384,128,65536,True
block10_dw,depthwise,3×3×128×1,3,3,128,128,1152,128,128,4608,False
block10_pw,pointwise,1×1×128×256,1,1,128,256,32768,32768,256,131072,True
