strategy,tag,layer,layer_sparsity,kernel_weights
one_shot_global,s25,stem_conv,0.09722222222222222,216
one_shot_global,s25,block1_dw,0.1388888888888889,72
one_shot_global,s25,block1_pw,0.09375,128
one_shot_global,s25,block2_dw,0.13194444444444445,144
one_shot_global,s25,block2_pw,0.095703125,512
one_shot_global,s25,block3_dw,0.17708333333333334,288
one_shot_global,s25,block3_pw,0.0908203125,1024
one_shot_global,s25,block4_dw,0.2048611111111111,288
one_shot_global,s25,block4_pw,0.134765625,2048
one_shot_global,s25,block5_dw,0.24479166666666666,576
one_shot_global,s25,block5_pw,0.13525390625,4096
one_shot_global,s25,block6_dw,0.24305555555555555,576
one_shot_global,s25,block6_pw,0.170166015625,8192
one_shot_global,s25,block7_dw,0.3142361111111111,1152
one_shot_global,s25,block7_pw,0.1947021484375,16384
one_shot_global,s25,block8_dw,0.2977430555555556,1152
one_shot_global,s25,block8_pw,0.19842529296875,16384
one_shot_global,s25,block9_dw,0.2803819444444444,1152
one_shot_global,s25,block9_pw,0.2025146484375,16384
one_shot_global,s25,block10_dw,0.3368055555555556,1152
one_shot_global,s25,block10_pw,0.36944580078125,32768
one_shot_global,s25,person_probability,0.53125,256
one_shot_global,s50,stem_conv,0.2222222222222222,216
one_shot_global,s50,block1_dw,0.2222222222222222,72
one_shot_global,s50,block1_pw,0.15625,128
one_shot_global,s50,block2_dw,0.3402777777777778,144
one_shot_global,s50,block2_pw,0.181640625,512
one_shot_global,s50,block3_dw,0.40625,288
one_shot_global,s50,block3_pw,0.2373046875,1024
one_shot_global,s50,block4_dw,0.4444444444444444,288
one_shot_global,s50,block4_pw,0.28125,2048
one_shot_global,s50,block5_dw,0.5260416666666666,576
one_shot_global,s50,block5_pw,0.30615234375,4096
one_shot_global,s50,block6_dw,0.5173611111111112,576
one_shot_global,s50,block6_pw,0.369140625,8192
one_shot_global,s50,block7_dw,0.6067708333333334,1152
one_shot_global,s50,block7_pw,0.42218017578125,16384
one_shot_global,s50,block8_dw,0.6197916666666666,1152
one_shot_global,s50,block8_pw,0.43646240234375,16384
one_shot_global,s50,block9_dw,0.6137152777777778,1152
one_shot_global,s50,block9_pw,0.44573974609375,16384
one_shot_global,s50,block10_dw,0.6527777777777778,1152
one_shot_global,s50,block10_pw,0.66619873046875,32768
one_shot_global,s50,person_probability,0.8984375,256
one_shot_global,s75,stem_conv,0.4537037037037037,216
one_shot_global,s75,block1_dw,0.3611111111111111,72
one_shot_global,s75,block1_pw,0.2578125,128
one_shot_global,s75,block2_dw,0.5347222222222222,144
one_shot_global,s75,block2_pw,0.33203125,512
one_shot_global,s75,block3_dw,0.6631944444444444,288
one_shot_global,s75,block3_pw,0.3759765625,1024
one_shot_global,s75,block4_dw,0.7013888888888888,288
one_shot_global,s75,block4_pw,0.4697265625,2048
one_shot_global,s75,block5_dw,0.8055555555555556,576
one_shot_global,s75,block5_pw,0.503173828125,4096
one_shot_global,s75,block6_dw,0.8142361111111112,576
one_shot_global,s75,block6_pw,0.610595703125,8192
one_shot_global,s75,block7_dw,0.875,1152
one_shot_global,s75,block7_pw,0.6888427734375,16384
one_shot_global,s75,block8_dw,0.8784722222222222,1152
one_shot_global,s75,block8_pw,0.70074462890625,16384
one_shot_global,s75,block9_dw,0.8932291666666666,1152
one_shot_global,s75,block9_pw,0.73089599609375,16384
one_shot_global,s75,block10_dw,0.8975694444444444,1152
one_shot_global,s75,block10_pw,0.899871826171875,32768
one_shot_global,s75,person_probability,1.0,256
one_shot_global,s90,stem_conv,0.6481481481481481,216
one_shot_global,s90,block1_dw,0.5694444444444444,72
one_shot_global,s90,block1_pw,0.34375,128
one_shot_global,s90,block2_dw,0.6875,144
one_shot_global,s90,block2_pw,0.44140625,512
one_shot_global,s90,block3_dw,0.8958333333333334,288
one_shot_global,s90,block3_pw,0.5283203125,1024
one_shot_global,s90,block4_dw,0.8888888888888888,288
one_shot_global,s90,block4_pw,0.650390625,2048
one_shot_global,s90,block5_dw,0.9600694444444444,576
one_shot_global,s90,block5_pw,0.697509765625,4096
one_shot_global,s90,block6_dw,0.9548611111111112,576
one_shot_global,s90,block6_pw,0.812255859375,8192
one_shot_global,s90,block7_dw,0.9852430555555556,1152
one_shot_global,s90,block7_pw,0.8787841796875,16384
one_shot_global,s90,block8_dw,0.9817708333333334,1152
one_shot_global,s90,block8_pw,0.88616943359375,16384
one_shot_global,s90,block9_dw,0.9904513888888888,1152
one_shot_global,s90,block9_pw,0.9112548828125,16384
one_shot_global,s90,block10_dw,0.9817708333333334,1152
one_shot_global,s90,block10_pw,0.984405517578125,32768
one_shot_global,s90,person_probability,1.0,256
paper_iterative,s25,stem_conv,0.0,216
paper_iterative,s25,block1_dw,0.013888888888888888,72
paper_iterative,s25,block1_pw,0.0078125,128
paper_iterative,s25,block2_dw,0.020833333333333332,144
paper_iterative,s25,block2_pw,0.03125,512
paper_iterative,s25,block3_dw,0.05555555555555555,288
paper_iterative,s25,block3_pw,0.0322265625,1024
paper_iterative,s25,block4_dw,0.09027777777777778,288
paper_iterative,s25,block4_pw,0.14404296875,2048
paper_iterative,s25,block5_dw,0.1892361111111111,576
paper_iterative,s25,block5_pw,0.029296875,4096
paper_iterative,s25,block6_dw,0.13020833333333334,576
paper_iterative,s25,block6_pw,0.118896484375,8192
paper_iterative,s25,block7_dw,0.2152777777777778,1152
paper_iterative,s25,block7_pw,0.227783203125,16384
paper_iterative,s25,block8_dw,0.1840277777777778,1152
paper_iterative,s25,block8_pw,0.12078857421875,16384
paper_iterative,s25,block9_dw,0.3307291666666667,1152
paper_iterative,s25,block9_pw,0.2159423828125,16384
paper_iterative,s25,block10_dw,0.3480902777777778,1152
paper_iterative,s25,block10_pw,0.42523193359375,32768
paper_iterative,s25,person_probability,0.5546875,256
paper_iterative,s50,stem_conv,0.013888888888888888,216
paper_iterative,s50,block1_dw,0.013888888888888888,72
paper_iterative,s50,block1_pw,0.0234375,128
paper_iterative,s50,block2_dw,0.0763888888888889,144
paper_iterative,s50,block2_pw,0.0703125,512
paper_iterative,s50,block3_dw,0.1284722222222222,288
paper_iterative,s50,block3_pw,0.0673828125,1024
paper_iterative,s50,block4_dw,0.2048611111111111,288
paper_iterative,s50,block4_pw,0.31591796875,2048
paper_iterative,s50,block5_dw,0.4184027777777778,576
paper_iterative,s50,block5_pw,0.0673828125,4096
paper_iterative,s50,block6_dw,0.3038194444444444,576
paper_iterative,s50,block6_pw,0.2769775390625,8192
paper_iterative,s50,block7_dw,0.4574652777777778,1152
paper_iterative,s50,block7_pw,0.51104736328125,16384
paper_iterative,s50,block8_dw,0.4079861111111111,1152
paper_iterative,s50,block8_pw,0.2794189453125,16384
paper_iterative,s50,block9_dw,0.7326388888888888,1152
paper_iterative,s50,block9_pw,0.49346923828125,16384
paper_iterative,s50,block10_dw,0.6753472222222222,1152
paper_iterative,s50,block10_pw,0.75531005859375,32768
paper_iterative,s50,person_probability,0.9375,256
paper_iterative,s75,stem_conv,0.023148148148148147,216
paper_iterative,s75,block1_dw,0.06944444444444445,72
paper_iterative,s75,block1_pw,0.0546875,128
paper_iterative,s75,block2_dw,0.1736111111111111,144
paper_iterative,s75,block2_pw,0.125,512
paper_iterative,s75,block3_dw,0.2916666666666667,288
paper_iterative,s75,block3_pw,0.13671875,1024
paper_iterative,s75,block4_dw,0.3784722222222222,288
paper_iterative,s75,block4_pw,0.5703125,2048
paper_iterative,s75,block5_dw,0.6840277777777778,576
paper_iterative,s75,block5_pw,0.11865234375,4096
paper_iterative,s75,block6_dw,0.5590277777777778,576
paper_iterative,s75,block6_pw,0.5040283203125,8192
paper_iterative,s75,block7_dw,0.7361111111111112,1152
paper_iterative,s75,block7_pw,0.84271240234375,16384
paper_iterative,s75,block8_dw,0.6866319444444444,1152
paper_iterative,s75,block8_pw,0.51019287109375,16384
paper_iterative,s75,block9_dw,0.9817708333333334,1152
paper_iterative,s75,block9_pw,0.8323974609375,16384
paper_iterative,s75,block10_dw,0.9409722222222222,1152
paper_iterative,s75,block10_pw,0.97216796875,32768
