layer,type,kernel_shape,kernel_weights
stem_conv,Conv2D,3×3×3×8,216
block1_dw,DepthwiseConv2D,3×3×8×1,72
block1_pw,Conv2D,1×1×8×16,128
block2_dw,DepthwiseConv2D,3×3×16×1,144
block2_pw,Conv2D,1×1×16×32,512
block3_dw,DepthwiseConv2D,3×3×32×1,288
block3_pw,Conv2D,1×1×32×32,1024
block4_dw,DepthwiseConv2D,3×3×32×1,288
block4_pw,Conv2D,1×1×32×64,2048
block5_dw,DepthwiseConv2D,3×3×64×1,576
block5_pw,Conv2D,1×1×64×64,4096
block6_dw,DepthwiseConv2D,3×3×64×1,576
block6_pw,Conv2D,1×1×64×128,8192
block7_dw,DepthwiseConv2D,3×3×128×1,1152
block7_pw,Conv2D,1×1×128×128,16384
block8_dw,DepthwiseConv2D,3×3×128×1,1152
block8_pw,Conv2D,1×1×128×128,16384
block9_dw,DepthwiseConv2D,3×3×128×1,1152
block9_pw,Conv2D,1×1×128×128,16384
block10_dw,DepthwiseConv2D,3×3×128×1,1152
block10_pw,Conv2D,1×1×128×256,32768
person_probability,Dense,256×1,256
